Molecule	Type	actin cytoskeleton reorganization	actin filament debranching	actin filament polymerization	adhesion strenghtening and intraluminal crawling	ameboidal-type cell migration	angiogenesis	anti-inflammatory molecule gene expression	apoptotic cell clearance	apoptotic process	capture rolling	cell adhesion	cell motility	cytokine production involved in inflammatory response	degradation of membrane-associated molecules	destruction of pathogens	digestion of microbes/particles/...	endosomal vesicle fusion	endothelial cell proliferation	endothelial migration	epithelial cell proliferation involved in lung morphogenesis	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast efferocytosis	fibroblast migration	firm adhesion	focal adhesion	formation of intraluminal vesicles	fusion with late endosomes	gluconeogenese	glycogen synthesis	glycolysis	hypothermia	keratinocyte migration	keratinocyte proliferation	ketogenic acid synthesis	leukocyte migration	leukotriene synthesis	lipoxin synthesis	lymphocyte chemotaxis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage clearance	macrophage derived foam cell differentiation	macrophage differentiation	maresin synthesis	membrane hyperpolarization	microtubule cytoskeleton organization	microtubule-based movement	monocyte chemotaxis	monocyte extravasation	myeloid dendritic cell differentiation	myosin ii filament organization	natural killer cell chemotaxis	neurotrophy	neutrophil apoptotic process	neutrophil chemotaxis	neutrophil extravasation	nf-κb response	p38mapk cascade	pamp recognition	phagocytic cup	phagocytosis, engulfment	phagosome maturation	phagosome sealing	phagosome-lysosome fusion	platelet activation	platelet aggregation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of cellular response to insulin stimulus	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	recognition of a target particle	regulation of actin cytoskeleton reorganization	regulation of acute inflammatory response	resolution of airway inflammation	resolution of edema	resolvin synthesis	response to endoplasmic reticulum stress	sensory perception of pain	site of dna damage	slow rolling	stat3 pathway	thromboxan synthesis	tissue homeostasis	unknown signalling cascades	uptake of srbc	vascular associated smooth muscle cell migration	vasoconstriction	vasodilation	wound constriction	wound healing
PRKAA1	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAA2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAB1	PROTEIN	5	7	-7	6	-8	-4	0	-5	3	7	-6	5	0	0	-7	11	11	9	0	0	-9	-5	-13	0	-4	-5	-5	0	0	7	9	-6	0	-3	-6	-11	0	-11	-6	0	5	-4	0	-6	-2	-6	-8	-7	0	0	-5	-5	7	-7	0	5	-5	-5	0	-5	4	-9	5	8	7	0	-7	-7	7	0	-5	0	-5	5	-8	6	5	5	7	0	0	-6	-6	0	4	-6	-8	7	4	4	0	-6	-4	4	0	9
PRKAB2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG1	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG3	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPK	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKB2	PROTEIN	-6	7	-7	5	-8	-5	0	4	-4	6	-5	-6	0	0	6	10	10	-10	0	0	8	5	-14	0	-5	4	4	0	0	7	9	6	0	-5	-5	-12	0	-10	5	0	-3	3	0	5	3	5	-9	-6	0	0	5	4	6	6	0	4	4	-5	0	4	4	-9	5	7	6	0	6	6	6	0	-4	0	-6	-5	7	-6	5	5	6	0	0	5	5	0	4	-5	-7	-5	5	4	0	5	-5	5	0	8
REL	PROTEIN	5	5	-6	-6	-7	-5	0	2	-4	-7	-6	-6	0	0	-6	9	9	-10	0	0	7	-5	13	0	-5	-4	-4	0	0	-7	-9	-7	0	-4	-4	11	0	-9	4	0	-2	2	0	4	-2	4	8	-6	0	0	-4	-3	5	-7	0	-4	-5	4	0	-3	5	-8	5	6	5	0	-7	-7	-7	0	4	0	-5	-4	6	6	3	5	-7	0	0	4	4	0	5	-6	-6	-4	-5	4	0	-5	5	-5	0	-9
NFKB Subunits	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REL:REL	PROTEIN	-6	8	6	-5	7	-6	0	1	-5	-6	-6	-6	0	0	6	-12	-12	-11	0	0	-8	5	-15	0	-6	-5	4	0	0	-8	-10	7	0	-5	-5	-13	0	10	6	0	-5	4	0	5	-3	6	-10	-7	0	0	5	-2	-8	-7	0	5	-5	3	0	-2	4	8	-6	-9	-8	0	-6	-6	-8	0	-5	0	6	-5	-7	6	6	-6	-8	0	0	6	5	0	-5	-5	7	-7	-5	-5	0	5	5	-5	0	-9
apoptotic cell clearance	PHENOTYPE	-7	8	-8	-7	-9	-5	0	0	4	-8	6	-7	0	0	-7	-12	-12	10	0	0	-9	-7	14	0	-5	-6	-6	0	0	-8	-10	-8	0	-5	-5	12	0	10	5	0	-4	3	0	4	-4	5	9	-7	0	0	-5	-5	-8	-8	0	4	-6	6	0	-5	-6	-10	5	-9	-8	0	-7	-7	-7	0	-4	0	-6	-5	-7	5	6	-6	-7	0	0	5	4	0	6	-7	-7	-6	-6	4	0	-7	6	-6	0	-9
leukocyte migration	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apoptotic process	PHENOTYPE	-7	8	6	-7	7	-5	0	3	0	-8	6	-7	0	0	-7	9	9	6	0	0	7	-7	11	0	-5	5	-6	0	0	-8	-10	7	0	-5	-5	9	0	10	5	0	-4	3	0	4	-4	5	8	-7	0	0	-5	-4	5	-5	0	4	-6	5	0	-4	-6	8	5	6	5	0	-7	-7	-7	0	-4	0	-6	-5	-7	5	6	-6	-7	0	0	5	4	0	6	-7	-7	-6	-6	4	0	-7	6	-6	0	-9
phagocytosis, engulfment	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of cellular response to insulin stimulus	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytokine production involved in inflammatory response	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neurotrophy	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPARA	PROTEIN	-4	-7	-5	-3	-6	-4	0	-3	3	-7	-5	-4	0	0	-6	-11	-11	9	0	0	-6	-4	-13	0	-4	-3	-5	0	0	-7	-9	-5	0	3	3	-11	0	-8	-5	0	-3	-3	0	-4	2	-5	-8	5	0	0	-3	-3	-7	-4	0	-4	-3	4	0	-3	-5	-7	-5	-8	-7	0	-4	-4	-6	0	4	0	-4	3	5	-5	-5	-5	-6	0	0	-5	-4	0	-4	-3	-7	-5	-6	-4	0	-6	-6	-6	0	-7
ICAM1	GENE	2	5	3	3	4	-6	0	4	-5	7	-6	2	0	0	4	9	9	9	0	0	4	3	12	0	-6	3	-6	0	0	-8	-10	-7	0	6	6	10	0	-11	-7	0	-5	-5	0	-7	4	-7	6	7	0	0	5	5	6	-7	0	5	3	4	0	5	5	5	3	6	5	0	2	2	4	0	-5	0	3	-6	8	7	3	3	4	0	0	-7	-7	0	5	-6	5	-7	4	2	0	4	4	-4	0	5
VCAM1	GENE	3	7	3	3	4	-5	0	3	-5	7	-6	2	0	0	4	10	10	-11	0	0	4	2	14	0	-5	3	-6	0	0	-8	-10	-7	0	6	6	12	0	-11	6	0	-5	4	0	-7	4	6	6	7	0	0	-5	5	6	-7	0	5	3	4	0	5	5	5	3	7	6	0	2	2	6	0	-5	0	3	-6	8	-7	5	3	6	0	0	6	-7	0	5	-6	5	-7	4	2	0	4	4	-4	0	5
TNF	GENE	5	-7	6	4	7	-5	0	-5	-4	5	5	5	0	0	-6	-11	-11	-10	0	0	7	5	-14	0	-5	-4	-5	0	0	-8	-10	-6	0	4	4	-12	0	-9	-6	0	4	-4	0	-6	-2	-6	9	6	0	0	-4	-3	-7	-6	0	-4	-4	-2	0	1	4	8	-6	-8	-7	0	5	5	-7	0	4	0	-5	4	6	-7	-5	5	-7	0	0	-6	-6	0	-4	4	-7	6	5	-5	0	-6	-5	5	0	8
MCP1	GENE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERCA2B	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLT1	PROTEIN	4	-7	5	3	6	4	0	5	2	6	5	4	0	0	6	-11	-11	8	0	0	6	4	13	0	4	3	5	0	0	7	9	5	0	4	4	11	0	-9	-6	0	3	-4	0	-5	2	-6	8	-5	0	0	-5	2	7	4	0	-5	3	-3	0	2	5	7	5	-8	-7	0	4	4	6	0	-5	0	5	4	6	-7	-5	5	6	0	0	-6	-5	0	-5	3	7	5	-6	4	0	6	-6	-6	0	7
IL-2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPARgamma	PROTEIN	-4	-7	-5	-3	-6	-4	0	-5	-4	-7	-5	-4	0	0	-6	-11	-11	-10	0	0	-6	-4	-13	0	-4	-3	-5	0	0	-7	-9	-5	0	-4	-4	-11	0	9	-6	0	-3	-4	0	5	-3	-6	-8	5	0	0	-5	-3	-8	-4	0	5	-3	4	0	-3	-6	-7	-5	-8	-7	0	-4	-4	-6	0	-5	0	-5	-4	-6	-7	-5	-5	-6	0	0	-6	5	0	-6	-3	-7	-5	-6	-4	0	-6	-6	-6	0	-7
GPR120	PROTEIN	-5	-8	-6	-4	-7	-5	0	-6	-4	-8	-6	-5	0	0	-7	-12	-12	-10	0	0	-7	-5	-14	0	-5	-4	-6	0	0	-8	-10	-6	0	3	-5	-12	0	10	-7	0	-4	-5	0	6	-4	-7	-9	6	0	0	-6	-4	-9	-5	0	6	-4	5	0	-4	-7	-8	-6	-9	-8	0	-5	-5	-7	0	-6	0	-6	-5	-7	-8	-6	-6	-7	0	0	-7	6	0	-4	-4	-8	-6	-7	-5	0	-7	-7	-7	0	-8
IKKB	PROTEIN	4	-7	5	3	6	4	0	5	4	7	5	4	0	0	6	-11	-11	10	0	0	6	4	13	0	4	3	5	0	0	7	9	5	0	4	4	11	0	-9	-6	0	3	-4	0	-5	3	-6	8	-5	0	0	-5	3	-8	4	0	-5	3	-4	0	3	-6	7	5	-8	-7	0	4	4	6	0	5	0	5	4	6	-7	-5	5	6	0	0	-6	-5	0	-6	3	7	5	6	4	0	6	-6	-6	0	7
JNK	PROTEIN	-8	9	-9	8	-10	-6	0	6	3	-10	-8	-8	0	0	-9	12	12	9	0	0	10	-8	14	0	-6	-7	-7	0	0	-10	-12	-9	0	-2	-8	12	0	13	-8	0	-7	-6	0	7	6	-8	11	-9	0	0	7	-7	8	-8	0	7	-7	-8	0	-7	-7	-11	8	9	8	0	9	9	9	0	-7	0	-7	-8	-10	8	7	8	9	0	0	-8	7	0	3	-8	-10	-9	-8	7	0	-8	8	-8	0	11
