Symbol	Ballooning_1_vs_control	Ballooning_1_vs_control_pvalue	Ballooning_2_vs_control	Ballooning_2_vs_control_pvalue
ZYX	0.25637459	0.62357	0.5851749	2.13e-05
NQO1	0.6073462	0.62357	0.3527379	0.0308
LINC00662	-0.18542366	0.62357	-0.0065037	0.953
HLA-DQA1	0.53800576	0.6246	0.4321789	0.0753
MEF2C-AS1	-0.61627161	0.62618	-0.389758	0.178
PIRAT1	-0.75354812	0.63249	-1.087641	0.00266
NEMP2	-0.14683934	0.63249	-0.0774629	0.31
TREM2	0.86016455	0.63249	1.6861465	3.48e-07
PTPDC1	0.22652033	0.63249	0.1110173	0.313
ENG	0.20343435	0.63249	0.4052447	0.00085
SLC1A2	-0.81592906	0.63249	-0.629114	0.0461
TPSB2	1.05508046	0.63249	0.316562	0.565
ZNF433	0.14592656	0.63249	0.0625905	0.39
LEPR	-0.5956183	0.63704	-0.0988248	0.767
RAB7B	0.5970974	0.63704	0.9202862	0.000123
LOC107986589	0.45080956	0.63704	0.4142563	0.048
FKBP1A-SDCBP2	0.38488271	0.63849	0.5212637	0.000448
INKA2	0.34800413	0.6528	0.2678912	0.106
HCG4B	-0.42858635	0.6528	-0.1635173	0.498
HLA-DRB5	0.5368097	0.6528	0.3824225	0.129
WDR86	0.19384955	0.6528	0.131479	0.106
HPS1	0.17288415	0.6528	0.2037241	0.00251
CSNK2A3	0.13924006	0.6528	0.0984947	0.169
AKAP3	-0.28883106	0.6528	-0.2371428	0.122
PTGIS	0.34058587	0.6528	0.4928024	0.00769
ARHGEF16	0.40490958	0.65649	0.4326973	0.0028
MIR30DHG	-0.21783266	0.65649	-0.348065	0.000761
AUH	-0.13096941	0.65649	-0.2387207	0.000296
LEMD3	-0.10282068	0.65649	-0.0629671	0.158
IGHV1-3	1.38526927	0.65649	1.0728722	0.0534
TPSAB1	0.96874257	0.65649	0.2792697	0.577
SDCBP2	0.43019999	0.65649	0.5645088	0.00102
PRODH	-0.79634514	0.65649	-0.5930263	0.138
GGT5	0.27067391	0.65649	0.363911	0.0183
LOC102724788	-0.81319702	0.65649	-0.6462664	0.108
GCNA	-0.26105983	0.65649	-0.3785906	0.00226
IL1RAPL2	-0.49078931	0.65649	-0.1402024	0.629
TRIT1	-0.18454958	0.69193	-0.2024888	0.00912
XCL1	0.71267644	0.69193	0.4299016	0.102
LOC105371675	-0.41761791	0.69193	-0.5023689	0.0194
ABCB11	-0.35684118	0.69193	-0.4299855	0.00484
GLB1L	-0.18588027	0.69193	-0.1020286	0.398
IHO1	0.53061683	0.69193	0.3238771	0.245
COL19A1	-0.9568186	0.69193	-0.3287746	0.567
DNAH11	-0.480738	0.69193	-0.7091963	0.00159
LOC105375228	-0.31864186	0.69193	-0.4289215	0.00306
ZNF800	-0.11087642	0.69193	0.0112395	0.869
AKR1B15	1.41654113	0.69193	3.0828126	3.16e-06
TAF2	-0.08416382	0.69193	-0.0445486	0.29
C9orf153	-0.4524289	0.69193	-0.5328884	0.0143
SLC48A1	0.17279379	0.69193	0.1315729	0.0714
LOC107984438	-0.2421154	0.69193	-0.2213633	0.0409
IGHV3-20	-1.13144702	0.69193	-0.0207939	0.974
ALDH1A3	0.53538167	0.69193	0.4934856	0.0599
NR5A2	-0.1697384	0.69301	-0.2510716	0.000831
LOC105375489	0.23728522	0.69301	0.1939863	0.0622
GRAMD4	-0.32903687	0.69301	-0.3593307	0.0317
CDC14B	-0.18213656	0.69533	-0.1808578	0.0558
SLCO1B7	-0.44486734	0.70615	-0.5916673	0.0196
ALDH6A1	-0.28978952	0.70615	-0.4651653	0.000761
WHAMMP3	-0.15226357	0.70615	-0.0452748	0.596
LOC105371877	-0.8391848	0.70615	-1.2813388	0.00148
SIRPB2	0.45060004	0.70615	0.571219	0.0127
DENND2D	0.28092287	0.70725	0.2732286	0.0308
SLC16A1	-0.37082917	0.70725	0.0013861	0.996
MIR5193	0.29375729	0.70725	0.0253532	0.886
PCYOX1L	0.28751747	0.70725	0.4668104	0.00833
DEFB1	0.57035823	0.70725	0.8421442	0.00103
LINC02701	-0.45682339	0.70725	0.1317846	0.718
LOC102723340	-0.38653387	0.70725	-0.5211564	0.00442
CRIP1	0.50359519	0.70725	0.1115386	0.662
LOC107985783	-0.1766919	0.71006	-0.2011025	0.0417
PRDM10	-0.1237557	0.71133	-0.1554905	0.00301
C9orf43	-0.23578295	0.713	-0.2216514	0.0697
ABR	0.25535832	0.713	0.342409	0.00356
ADGRG2	-0.23210664	0.713	-0.366928	0.00391
CDK13	-0.09338843	0.71327	-0.0898724	0.0522
MAGI2-AS3	-0.26849221	0.71327	-0.2699335	0.0187
TMEM19	0.25354534	0.71327	0.2181186	0.0643
LOC107984617	-0.32926763	0.71327	-0.1848656	0.295
LOC105370538	-0.31813021	0.71327	-0.2634012	0.0933
CBX2	0.48029862	0.71327	0.3975987	0.0772
FMO2	0.51121461	0.72302	0.4228868	0.0912
LOC105374527	-0.40120753	0.72302	-0.3516485	0.0998
TRIM68	0.17284749	0.72302	0.1397792	0.146
BBOF1	-0.27640768	0.72302	-0.4240198	0.00102
MEIOC	-0.27560054	0.72302	-0.0911951	0.56
LOC105372279	-0.20439494	0.72302	-0.1498654	0.168
LENG8-AS1	-0.23629839	0.72302	-0.357084	0.00443
BRPF3-AS1	-0.42468878	0.73122	-0.4388283	0.0343
ADCY10	-0.24725776	0.73331	-0.4264755	0.00161
RGCC	0.65767052	0.73331	1.0608207	0.0019
LINC01474	-0.28640918	0.7334	-0.3195645	0.0111
LOC107984847	-0.29225897	0.73685	-0.1897226	0.205
SLC9A1	0.19846246	0.73685	0.3708225	0.00493
MCOLN3	0.65010174	0.73685	0.5238543	0.114
LINGO4	0.51098371	0.73685	-0.2312096	0.418
NFASC	0.39520878	0.73685	0.738807	0.00115
PGBD2	-0.18042906	0.73685	-0.1283021	0.247
KRTCAP3	-0.32204895	0.73685	-0.4916281	0.00151
LOC107985870	-0.63994618	0.73685	-0.7965565	0.0137
SH3RF3	0.2767399	0.73685	0.404599	0.00996
KLHL41	0.44924417	0.73685	0.1129668	0.511
AOX1	-0.23420552	0.73685	-0.4509749	0.000118
CPS1	-0.23482799	0.73685	-0.2437338	0.059
ZNF621	-0.1007072	0.73685	-0.1351869	0.0265
BSN	-0.46030487	0.73685	-0.6597874	0.00168
RBM6	-0.12120923	0.73685	-0.1591513	0.0246
NEPRO-AS1	-0.26219162	0.73685	-0.1914547	0.153
ATP1B3	0.28972154	0.73685	0.570502	0.000885
CPA3	0.90149607	0.73685	0.3543321	0.487
LCORL	-0.11645439	0.73685	-0.0077603	0.919
PPARGC1A	-0.31825729	0.73685	-0.3207006	0.0501
NAAA	-0.2165684	0.73685	-0.3647913	0.00103
PPM1K	-0.32174255	0.73685	-0.5138584	0.00106
HHIP	-0.26201997	0.73685	-0.1679785	0.358
HLA-F-AS1	0.2265448	0.73685	0.0602187	0.678
MICALL2	0.27057425	0.73685	0.2476219	0.0868
LOC105375153	-0.25829692	0.73685	-0.4099169	0.0136
METTL27	-0.43183758	0.73685	-0.5189416	0.0219
CLIP2	0.25436347	0.73685	0.146255	0.286
SEMA3C	0.94373749	0.73685	0.3877964	0.399
FAM185A	-0.10056984	0.73685	-0.1123591	0.0424
LOC105375434	-0.27869924	0.73685	-0.5878822	4.09e-05
DPY19L2P2	-0.32590722	0.73685	-0.5769339	0.000275
FOXP2	-0.1967313	0.73685	-0.228227	0.00811
TCAF2	0.27035282	0.73685	0.2302619	0.192
MSRA	0.12567457	0.73685	0.1500381	0.124
LOC107987100	-0.30986409	0.73685	-0.4859001	0.00205
LOC105376195	-0.51741634	0.73685	-0.6769734	0.0259
HTRA1	0.25003104	0.73685	0.3011573	0.00596
SLC1A2-AS1	-0.6125431	0.73685	-0.6950429	0.0158
ASRGL1	0.48185033	0.73685	0.1360381	0.538
SLC22A10	-0.78177102	0.73685	-0.9317785	0.0128
TTC12	-0.16699407	0.73685	-0.3867855	5.29e-05
KCNJ5	0.57020935	0.73685	1.1032412	3.23e-05
TAS2R30	-0.23822525	0.73685	-0.1960016	0.108
BICD1	0.42175901	0.73685	0.518698	0.0112
MED13L	-0.11019812	0.73685	-0.1112899	0.0253
STARD13-AS	-0.2005976	0.73685	-0.3084452	0.000907
PCID2	-0.12210893	0.73685	-0.1717705	0.0247
LINC00216	-0.21073144	0.73685	-0.2298896	0.0288
GPHN	-0.21302905	0.73685	-0.1942112	0.0976
WDR20	-0.07712787	0.73685	-0.119043	0.0011
TNFAIP2	0.21072839	0.73685	0.1445313	0.171
EIF5	-0.12941142	0.73685	-0.1152025	0.0256
IGHV3-72	0.91212006	0.73685	0.3472198	0.448
MYO9A	-0.13811813	0.73685	-0.2558039	0.000756
LINS1	-0.15680848	0.73685	-0.0998207	0.229
POLR3E	-0.09939195	0.73685	-0.137368	0.00656
TNFSF12-TNFSF13	0.20077878	0.73685	0.2959829	0.00801
TNFSF13	0.20541479	0.73685	0.2609084	0.0124
NCOR1	-0.11447271	0.73685	-0.1378904	0.00567
SNX11	0.16784741	0.73685	0.1520339	0.0548
MRC2	0.31717681	0.73685	0.4203975	0.00259
ERN1	-0.16355666	0.73685	-0.1375093	0.0586
SOX9-AS1	0.7076882	0.73685	0.6884581	0.0473
SLC16A3	0.54188176	0.73685	0.4575966	0.0136
PLIN3	0.20087435	0.73685	0.2765807	0.0145
ZNF565	-0.14589329	0.73685	-0.237789	0.00192
LOC107987267	-0.46805794	0.73685	-0.4656733	0.0347
SNRNP70	-0.12406344	0.73685	-0.3041664	2.13e-05
TMEM150B	0.59742483	0.73685	0.7389075	0.0109
MGME1	0.12918539	0.73685	0.1046293	0.083
PDRG1	0.23229594	0.73685	0.1732004	0.173
AHCY	-0.19930153	0.73685	-0.3055218	0.00286
PELATON	0.37125056	0.73685	0.3143337	0.0981
RNA45SN3	0.7763794	0.73685	-0.3979362	0.4
TFF3	1.32969918	0.73685	-0.0231715	0.978
DIAPH2	-0.12548663	0.73685	-0.1145638	0.0625
MID2	0.14531265	0.73685	0.304981	7.47e-05
ELF4	0.2359344	0.73685	0.3219939	0.0177
RAP2C-AS1	0.16059768	0.73685	-0.0202586	0.837
LINC01482	-0.65546224	0.73869	-1.2461284	0.00123
UTP25	-0.11760038	0.74011	-0.0380654	0.556
HGD	-0.22866468	0.74011	-0.327041	0.0178
SDCBP2-AS1	-0.15886834	0.74263	-0.1556191	0.0196
IFNGR2	0.17657258	0.74309	0.285715	0.00869
S100A4	0.52960367	0.74388	0.5838919	0.00626
NIPBL	-0.08745471	0.74388	-0.026281	0.602
THBS4	-0.37575222	0.74388	-0.4262207	0.052
LIMA1	0.15504475	0.74388	0.2893221	0.00148
RNF43	-0.17651282	0.74388	-0.0652268	0.56
ZNF507	-0.14298251	0.74388	-0.0656948	0.419
LOC105372976	-0.25054907	0.74957	-0.3248495	0.00974
LINC01806	-0.28133749	0.75116	-0.0478875	0.794
NRCAM	0.94962929	0.75116	0.1142765	0.797
LIPJ	-0.24613942	0.75116	-0.2559888	0.0264
LOC105369149	-0.2265252	0.75116	-0.267414	0.0173
LOC105369820	-0.28028448	0.75116	-0.3613866	0.0179
KICS2	-0.12052031	0.75162	-0.0904843	0.176
MPV17L	-0.23125709	0.75162	-0.134188	0.391
FBLN1	0.83953178	0.75162	0.639764	0.102
TNRC6C	-0.18890642	0.75601	-0.3493336	0.000102
EZR-AS1	0.27631107	0.75742	0.2318055	0.0936
HLA-DPA1	0.39837232	0.76243	0.5148738	0.00536
GAB2	0.16862681	0.76243	0.0555387	0.648
GRIN2A	-0.80209206	0.76243	-0.6499966	0.148
SPSB1	0.37481088	0.76427	0.6429566	0.00301
CAPZB	0.12663682	0.76427	0.2114789	0.002
CSF3R	0.22502363	0.76427	0.2668092	0.0785
FGGY	-0.19803135	0.76427	-0.241934	0.0201
PHTF1	-0.18512963	0.76427	-0.0462442	0.682
CD58	0.19808091	0.76427	0.3316362	0.00159
S100A14	0.39570307	0.76427	0.4378237	0.0108
UBE2Q1	-0.07868219	0.76427	-0.01448	0.806
ASH1L	-0.07879635	0.76427	-0.1258422	0.000521
MEX3A	-0.27869571	0.76427	-0.2617252	0.0487
QSOX1	0.23962882	0.76427	0.2321745	0.0749
LGR6	0.57640108	0.76427	0.7688106	0.001
BTG2	0.32467625	0.76427	0.4137129	0.0179
LOC105372926	-0.27584864	0.76427	-0.4366235	0.00785
LOC107985725	-0.24360662	0.76427	-0.4887249	0.000943
UBXN2A	0.1331175	0.76427	0.1723392	0.00257
CAPG	0.53722501	0.76427	1.0039637	0.000212
LOC105373511	-0.14567872	0.76427	-0.152219	0.0402
UXS1	0.17671274	0.76427	0.3455273	0.000368
SULT1C2	0.90611367	0.76427	0.7154637	0.117
GLI2	0.46400944	0.76427	0.6855306	0.00755
SCN3A	-0.36717849	0.76427	-0.6191979	0.00634
TTC21B	-0.13050619	0.76427	-0.1858597	0.0138
MYO1B	-0.14799321	0.76427	-0.180684	0.0152
IKZF2	0.18490018	0.76427	0.2094065	0.0552
ESPNL	-0.75950798	0.76427	-0.5944838	0.159
TTC21A	-0.22269735	0.76427	-0.1329203	0.305
PTPRG-AS1	-0.19936547	0.76427	-0.1620379	0.115
SPICE1	-0.10773622	0.76427	-0.1691067	0.0121
ACKR4	-0.17557694	0.76427	-0.170781	0.158
HLTF-AS1	0.25636254	0.76427	0.0702843	0.669
SIAH2-AS1	-0.30710236	0.76427	-0.2841176	0.121
SPTSSB	-0.33810064	0.76427	-0.3294949	0.134
GOLIM4	-0.13106207	0.76427	-0.2899321	0.000143
ACTRT3	0.2548482	0.76427	0.2401303	0.0589
CCDC39	-0.17538454	0.76427	-0.0486733	0.681
RTP4	0.24058338	0.76427	0.3551469	0.0102
CRACD	0.45672608	0.76427	0.7857727	0.00193
COL25A1	-0.34797186	0.76427	-0.419223	0.0123
MFAP3L	-0.17574678	0.76427	-0.1021876	0.417
SLC6A19	0.97205235	0.76427	0.1638819	0.829
DNAH5	-0.77919649	0.76427	-0.1188725	0.859
LOC107986343	0.26478653	0.76427	0.2771599	0.0772
VCAN	0.38039687	0.76427	0.6422742	0.00169
LOC100289230	-0.16979791	0.76427	-0.2256263	0.0129
LOC101927514	-0.23431448	0.76427	-0.353544	0.0105
LOC102723654	-0.20603358	0.76427	-0.1877977	0.0972
DIAPH1-AS1	-0.16357512	0.76427	-0.1451116	0.121
LINC01847	-0.291346	0.76427	-0.468603	0.00544
ADRA1B	-0.20365527	0.76427	-0.2201477	0.0625
NEURL1B	0.19233516	0.76427	0.349058	0.00342
GFPT2	0.62363107	0.76427	0.744435	0.0316
OR4F3	-0.41037939	0.76427	-0.0366806	0.905
LOC107986570	-0.86660728	0.76427	-0.9699714	0.0302
NUP153-AS1	-0.18742924	0.76427	-0.2610457	0.00714
HLA-J	-0.45751558	0.76427	0.1215453	0.727
ENPP4	0.24467455	0.76427	0.2749524	0.036
TDRD6	-0.20358607	0.76427	-0.2569347	0.0409
GUSBP4	-0.17376918	0.76427	-0.2228235	0.0255
ENPP1	-0.17574754	0.76427	-0.2426067	0.0131
LOC107986656	-0.24797827	0.76427	-0.3467109	0.0243
CNKSR3	-0.14638896	0.76427	-0.2525549	0.00785
DLL1	0.27363084	0.76427	0.1041321	0.51
CRPPA-AS1	-0.25708427	0.76427	-0.3084475	0.0515
NFE2L3	-0.1169971	0.76427	-0.1065419	0.191
ZNF727	0.36558532	0.76427	0.1929296	0.419
PEX1	-0.08673759	0.76427	-0.0735654	0.183
ZCWPW1	-0.15714551	0.76427	-0.1857496	0.0252
AASS	-0.38825021	0.76427	-0.7658664	6.6e-05
FAM131B	0.33773417	0.76427	0.3781086	0.0261
RBM33	-0.13696459	0.76427	-0.2616823	0.000408
MCPH1	-0.07876364	0.76427	-0.0007206	0.993
ATP6V1B2	0.07555197	0.76427	0.1225456	0.00996
BNIP3L	0.11922881	0.76427	0.2258595	0.002
LOC105375669	-0.2382235	0.76427	-0.3343782	0.0111
ACER2	0.19638233	0.76427	0.0691132	0.595
CCL19	0.66359604	0.76427	0.600503	0.073
FAM201A	0.66753564	0.76427	0.6745782	0.0166
ZNF782	-0.1234757	0.76427	-0.1518371	0.0202
RALGPS1	0.29962536	0.76427	0.5274735	0.00429
POMT1	-0.10139823	0.76427	-0.1789449	0.000702
PTGDS	0.65513119	0.76427	1.1695366	0.00132
ZNF487	-0.18082633	0.76427	-0.2247684	0.0579
ANXA8L1	0.7800329	0.76427	0.095392	0.863
LOC105378340	-0.50918524	0.76427	-0.5184343	0.137
CDH23	-0.39552037	0.76427	-0.6758167	0.00111
USP54	-0.15532242	0.76427	-0.160219	0.0513
LOC642361	0.22206475	0.76427	0.1466961	0.234
MAT1A	-0.24400878	0.76427	-0.5856049	6.13e-06
CPEB3	-0.29539305	0.76427	-0.1996993	0.289
CALHM2	0.27484251	0.76427	0.3627592	0.00874
LOC107984284	-0.28178197	0.76427	-0.2620295	0.167
CYP2E1	-0.2376466	0.76427	-0.2715007	0.125
MIR210HG	0.32909175	0.76427	-0.0844178	0.644
OLFML1	0.25323541	0.76427	0.1412472	0.281
LOC107984313	-0.24344607	0.76427	-0.1676087	0.173
SLC15A3	0.23373116	0.76427	0.3323835	0.01
WDR74	0.45835958	0.76427	0.1494714	0.497
SPDYC	-0.46343914	0.76427	-0.483963	0.0438
LOC101929174	0.44198403	0.76427	0.1996491	0.467
OLR1	0.73542078	0.76427	1.9964477	6.25e-08
LRRK2	-0.31143736	0.76427	-0.3771713	0.0296
NELL2	0.50748055	0.76427	0.5339914	0.0514
RARG	0.25319761	0.76427	0.2440453	0.071
INHBC	0.19006734	0.76427	0.1935969	0.149
MRS2P2	-0.17636888	0.76427	-0.0883883	0.454
SYT1	-0.27536461	0.76427	-0.4446917	0.00603
KITLG	0.26440182	0.76427	0.2866447	0.045
SOCS2	-0.38496579	0.76427	-0.067664	0.806
AMDHD1	-0.34284033	0.76427	-0.5679626	0.000662
HAL	-0.44921509	0.76427	-0.587986	0.025
RHOF	0.21236237	0.76427	0.1343259	0.196
ZNF26	-0.10544635	0.76427	-0.1141771	0.0336
N4BP2L2-IT2	-0.17215991	0.76427	-0.2125844	0.0146
POSTN	-0.42565025	0.76427	-0.7894328	0.000275
HTR2A-AS1	-0.31957665	0.76427	-0.6890182	0.00039
MRPS31P5	-0.12690385	0.76427	-0.2667596	9.61e-05
LGALS3	0.4404082	0.76427	0.7987348	0.000288
LOC107984656	-0.24798543	0.76427	-0.3457791	0.0447
TOMM20L-DT	-0.27151891	0.76427	-0.4065952	0.00444
GARIN2	-0.36532984	0.76427	-0.4231451	0.0303
ATG2B	-0.10681455	0.76427	-0.1889579	4.87e-05
NUDT14	0.28572996	0.76427	0.3731211	0.000264
ELK2AP	-0.79189559	0.76427	-0.479198	0.323
GOLGA8S	-0.1935235	0.76427	-0.1584714	0.181
LCIIAR	-0.34624935	0.76427	-0.0246297	0.929
GREM1	-1.0516761	0.76427	-0.1600766	0.846
LOC105370821	-0.2737961	0.76427	-0.4379435	0.0134
PAQR5	0.49133299	0.76427	0.7343586	0.00718
TMC3-AS1	-0.35556805	0.76427	-0.3862782	0.0627
PRKXP1	-0.4822888	0.76427	-0.3863279	0.177
ALDH1A3-AS1	0.35143937	0.76427	0.2153824	0.348
SNRPA1	0.17321348	0.76427	0.1307291	0.0548
SNHG9	0.4637828	0.76427	0.1732145	0.515
E4F1	-0.15917394	0.76427	-0.1807806	0.02
TNFRSF12A	0.64730608	0.76427	1.5679854	8.71e-06
IL32	0.52108475	0.76427	0.9218964	7.47e-05
TFAP4	-0.19419071	0.76427	-0.297663	0.00161
LOC105371077	-0.93071568	0.76427	-0.7491339	0.169
BMERB1	-0.180516	0.76427	-0.3787342	0.00151
NFATC3	-0.11916645	0.76427	-0.1498054	0.0131
ZFP1	-0.24282927	0.76427	-0.4445316	0.000336
ASPA	-0.33417281	0.76427	-0.291489	0.0974
B9D1	-0.26758737	0.76427	-0.7817956	2.5e-10
NSRP1	-0.11345814	0.76427	-0.1699527	0.0054
KANSL1	-0.19571069	0.76427	-0.0689642	0.571
C17orf58	0.19343362	0.76427	0.2371753	0.0122
FADS6	0.53582214	0.76427	-0.0251024	0.949
LOC105372117	-0.17846154	0.76427	-0.1404669	0.278
PARD6G-AS1	-0.31919013	0.76427	-0.1649856	0.47
MED16	-0.19941195	0.76427	-0.1587837	0.142
TRIP10	-0.32840597	0.76427	-0.1850627	0.329
SH2D3A	-0.40624009	0.76427	-0.3297857	0.125
ZNF791	-0.08130844	0.76427	-0.1032423	0.00468
ZNF681	0.34810037	0.76427	0.4816397	0.0107
LINC02987	-0.5906433	0.76427	-0.613955	0.0361
PLAUR	0.43320318	0.76427	0.7739932	0.000177
ZNF615	-0.12432819	0.76427	-0.1028705	0.11
ZNF665	0.32010872	0.76427	0.3068687	0.0793
ZNF8-ERVK3-1	0.12819864	0.76427	0.1825282	0.00102
ERVK3-1	0.15233473	0.76427	0.150658	0.0226
GNRH2	-0.33672618	0.76427	-0.3271589	0.0649
DONSON	0.13442167	0.76427	0.1830041	0.0372
MB	0.79509434	0.76427	0.0931904	0.86
TSPO	0.42808059	0.76427	0.4534567	0.0123
MTMR8	-0.19886324	0.76427	-0.1982558	0.0911
ITGB1BP2	-0.32735694	0.76427	-0.1365827	0.471
DIAPH2-AS1	-0.24833324	0.76427	-0.3827123	0.00338
