Symbol	Inflammation_1_v_Control	Inflammation_1_v_Control_pvalue	Inflammation_2_v_Control	Inflammation_2_v_Control_pvalue
GNA12	0.41259805	0.011	0.49538915	0.0101
LOC101928961	-1.07895596	0.012	-1.66344705	0.0081
FAM157A	-0.53517006	0.0127	-0.52980369	0.0491
LOC112267861	-0.68653669	0.0127	-0.79496962	0.0261
PCDH17	0.6953847	0.0127	1.04647339	0.0189
ACVR1C	-0.58841282	0.0127	-0.73298597	0.0513
HAAO	-0.38054608	0.0128	-0.63546611	0.0325
LOC388572	-0.68546087	0.0136	-0.7681961	0.0247
RNF217-AS1	-0.40112068	0.0137	-0.64152778	0.000288
ANAPC7	0.21797512	0.0139	0.27447023	0.0131
TOR1AIP1	-0.20234265	0.0139	-0.27520443	0.00697
PLA2G4C	0.70596798	0.0145	0.65769721	0.016
FAM3D-AS1	-1.02681525	0.0147		
NFYC-AS1	-0.27854802	0.0149	-0.42108508	0.00346
OR13D1	-0.75021399	0.0149	-0.97094658	0.00944
CRYBG3	0.29492841	0.0159	0.37903822	0.00164
KBTBD8	0.62525189	0.0162	1.03010178	0.000597
SLC25A27	-0.39558088	0.0169	-0.53990832	0.0564
LRIG3-DT	-0.73856443	0.0169	-0.9770753	0.0341
PLEKHB2	0.3355932	0.017	0.54216011	0.0126
N4BP2L2-IT2	-0.33440063	0.017	-0.46265233	0.00544
EPB41L5	-0.30674919	0.0174	-0.49989577	0.0183
DNAH11	-0.88669662	0.018	-0.9631406	0.00344
SCPEP1	0.5309166	0.018	0.80367315	2.74e-05
SLC16A12	-1.46818168	0.0184	0.41680338	0.567
NFATC3	-0.22189141	0.0184	-0.26318218	0.0518
ATP6V0D1	0.37686283	0.0185	0.55279002	0.0238
AGPAT1	0.35613445	0.0187	0.45576318	0.0228
MRAS	0.69550599	0.0188	0.99457198	0.00167
DMRTA1	-0.4849805	0.019	-0.4888347	0.0424
RBL2	-0.24646506	0.019	-0.35376726	0.0107
UGT2B17	1.06615466	0.0192	0.66509859	0.0584
UBE2Z	0.21319633	0.0192	0.37001111	0.00723
EFCAB6	-0.43316676	0.0193	-0.24263116	0.288
TUT7	-0.44722097	0.0195	-0.59892571	0.00806
SNX7	0.32100334	0.0197	0.48841709	0.00761
LOC105370756	-0.5597281	0.0197	-1.12135596	0.00135
EMP2	-0.41079113	0.0197	-0.52527782	0.000438
LOC101927999	-0.80440722	0.0197	-1.00071006	0.0273
EPHB2	0.8794264	0.0198	1.60778995	0.00313
FAM157B	-0.64054264	0.0198	-0.74916611	0.021
C12orf60	-0.40175482	0.02	-0.68143885	0.00127
LOC105374167	-0.56633081	0.0208	-0.60568955	0.0891
CHN2-AS1	-0.45637667	0.0212	-0.6813562	0.00233
GLYCTK	-0.43102765	0.0213	-0.68087353	0.0189
JUN	0.66548666	0.0213	0.9975589	0.000307
SPATS2	0.37112928	0.0213	0.60276246	0.015
FNDC9	-1.222063	0.0218	-0.94070412	0.183
PLP1	-1.90004625	0.0223		
EHD4	0.48534818	0.023	0.84112837	0.00495
RGS16	1.58348707	0.0234	1.64328469	0.00582
TSPAN5	-0.87011504	0.0234	-0.47910623	0.429
MAGI1	-0.30330729	0.0236	-0.45536569	0.00187
TBL2	0.22132126	0.0236	0.28100218	0.0557
NCRNA00250	-1.1396269	0.0236		
C10orf105	-0.81449715	0.0236	-1.23980668	0.000442
CHSY1	0.28636467	0.0236	0.62440597	0.0236
PHLPP1	-0.33303278	0.0236	-0.51023415	0.0126
ANO10	0.42280151	0.024	0.59374508	0.0124
GRIA3	0.58838129	0.0246	0.38147352	0.308
FABP5	1.21805589	0.0246	1.44512792	0.00596
LOC105376078	-0.73116686	0.0246	-1.17588712	0.0072
ATG13	0.21794068	0.0247	0.27160977	0.0153
ACP6	-0.32019017	0.0252	-0.46350764	0.00556
LOC107985936	-1.13905614	0.0252		
LOC105377576	-0.49155276	0.0252	-0.75309818	0.000854
ENPP1	-0.30583049	0.0252	-0.49440061	0.0335
ECT2L	-0.59455609	0.0252	-0.85769462	0.0126
LOC101927560	-0.77705626	0.0255	-1.05256303	0.0145
UFL1-AS1	-0.41997274	0.0255	-0.65591921	0.00279
SLC10A5	-0.33785105	0.0255	-0.43100579	0.137
SLC26A2	0.39942612	0.0261	0.6873655	0.0122
DNAJC25	-0.27998979	0.0263	-0.45732917	0.0816
SHC1	0.18947517	0.0266	0.44700916	0.0323
SPINK13	-0.67213047	0.0267	-0.69100122	0.119
LINC01507	3.37499299	0.0267		
SESTD1	-0.32392618	0.0268	-0.19171582	0.558
LOC101409256	-0.62529409	0.0268	-0.74038898	0.024
DENND5A	0.20335973	0.0268	0.31475475	0.0107
HOMER2	-0.40791051	0.0268	-0.62772094	0.00888
DUSP22	0.21898228	0.0269	0.38326289	0.00135
LOC105370276	-0.54455302	0.0269	-0.68635737	0.0443
LOC107987399	-0.63899368	0.0269	-0.6334161	0.0847
CNKSR3	-0.27839353	0.0272	-0.35661514	0.119
WIPI1	0.42647444	0.0272	0.53400664	0.00897
LOC107983949	-0.51800348	0.0272	-0.72246124	0.0118
FAT1	0.87068077	0.0273	1.22962934	0.000548
LOC107987054	-0.40859077	0.0273	-0.63536608	0.0102
S100B	-1.25817212	0.0273		
MET	-0.3951835	0.0276	-0.55306699	0.00047
NRXN1	-1.69318174	0.028	-3.06033164	9.75e-05
KLF5	-1.12471864	0.028	-0.4899393	0.576
CPSF2	0.20796615	0.028	0.26594574	0.0199
GNAL	0.28886789	0.028	0.38109563	0.00741
MIR29B2CHG	-0.40386991	0.0284	-0.5500239	0.0289
LOC105376065	-0.6434035	0.0286	-0.45300249	0.313
LOC105375825	-1.56211889	0.0297	-1.59101529	0.0335
TRIM9	2.42656798	0.0302	2.71498631	0.00313
MTA3	-0.30569087	0.0303	-0.57655882	0.00318
LPL	2.09035952	0.0303	1.61057363	0.0523
CYCS	0.52241861	0.0304	0.60021196	0.00362
LOC105370275	-0.78644296	0.0304	-1.06869857	0.0226
RORA	-0.40420079	0.0304	-0.46554942	0.0156
HARBI1	0.35308243	0.0305	0.50660454	0.00258
TNRC6C	-0.34881654	0.0305	-0.44690064	0.0287
P2RY8	0.65360865	0.0305	0.8783232	0.00585
USP4	0.1979162	0.0308	0.31231424	0.0209
PLOD3	0.28069289	0.0308	0.39934524	0.0149
TERB2	-1.06299393	0.0308	-1.13212633	0.0877
SAMD1	0.44219476	0.0308	0.64017785	0.0136
DTNA	1.27944932	0.0308	1.63538634	0.000771
OR13C9	-1.05577356	0.0311		
LOC107984210	-0.34657782	0.0311	-0.41462345	0.0438
SIRT5	-0.19075973	0.0315	-0.20302325	0.291
LINC01322	-1.75704984	0.0315	-2.96715953	0.00125
KIF24	0.22034994	0.0315	0.26860833	0.0138
ACVR2B	-0.44633867	0.0319	-0.64351296	0.00164
RNF32-DT	-0.39662122	0.0321	-0.41282297	0.0501
PORCN-DT	-0.66269408	0.0321	-1.02001091	0.0165
CD83	0.69267867	0.0323	1.07120531	0.00329
ANKRD29	1.0239625	0.0323	1.16285251	0.000154
ZNF404	-0.48221333	0.0323	-0.67000805	0.0224
IGLV3-1	1.44638789	0.0323	1.4753622	0.045
ZNF546	-0.2249163	0.0325	-0.35402749	0.00413
ZUP1	0.23611475	0.0325	0.22129519	0.126
LOC105378701	-1.3968103	0.0326	-1.54384986	0.0345
CABP5	0.89603662	0.0326	0.93044075	0.0284
H3C1	0.733116	0.0329	1.15213883	0.000288
RUNDC3B	-0.40185566	0.0333	-0.51699698	0.0334
APOL3	0.63442655	0.0333	0.75010201	0.0307
ACTG1P4	-0.61057027	0.0334	-0.89589802	0.0184
TMEM165	0.32896069	0.0334	0.61444206	0.0107
KCNK5	-0.77153855	0.0334	-0.93547589	0.0226
RUNX2	0.46257529	0.0334	0.62624556	0.0976
MTHFD1L	0.47231845	0.0334	0.87515856	0.00644
LOC105375634	-1.00111418	0.0334		
SYBU-AS1	-1.07091575	0.0334	-1.10956347	0.0581
MIR100HG	-0.36415947	0.0334	-0.23050411	0.365
RORA-AS1	-0.39644102	0.0334	-0.49899687	0.0118
EPOR	-0.2470426	0.0334	-0.30141347	0.0999
ACOT9	0.25942483	0.0334	0.35327477	0.0501
EOLA2-DT	-0.34358495	0.0334	-0.27007165	0.321
LASP1	0.29710409	0.0336	0.53768378	0.000198
ZDHHC19	-1.16268437	0.0336	-1.00211384	0.0912
ST3GAL6	-0.4142016	0.0346	-0.60918137	0.00129
CAMK2D	-0.21435744	0.0346	-0.32894799	0.00451
BBS12	0.52672082	0.0347	0.71015001	0.0362
LOC101927845	-1.08044595	0.0348		
LINC01435	3.2825799	0.0348		
KLF12	-0.27252465	0.0352	-0.40005381	0.0344
LOC107985014	-0.51857943	0.0353	-0.78877694	0.0172
SMYD2	0.30004685	0.0354	0.35403426	0.0154
CALCRL-AS1	-0.33116318	0.0354	-0.51354411	0.0141
LOC107987105	-0.72268111	0.0354	-0.85394501	0.0163
PTPA	0.30804343	0.0354	0.32970949	0.164
CDH23	-0.69732232	0.0354	-1.20321858	0.00135
SERPINH1	0.32032139	0.0354	0.88125131	0.0154
BBOF1	-0.41853999	0.0354	-0.71439233	0.0161
LINC01290	-0.89277749	0.0354	-1.31662642	0.00944
NUDT4	-0.37644951	0.0355	-0.56464753	0.002
CHIT1	2.42736091	0.0358	1.27681774	0.133
CXCR4	0.70987861	0.0358	1.50139784	0.00583
RBMS1	-0.36432702	0.0358	-0.33286554	0.187
YWHAZ	0.28369228	0.0358	0.50076539	0.0329
MIR30DHG	-0.37813403	0.0358	-0.50718172	0.00486
LINC02624	-0.63203712	0.0358	-0.578969	0.404
PYY	-1.47915381	0.0358		
LINC01426	1.37839077	0.0358	1.47530274	0.00739
CENPV	-0.3962012	0.036	-0.63456412	0.00723
LOC105372346	-2.70017357	0.0362		
LOC105376050	-0.60912116	0.0367	-0.30430114	0.548
CLEC4C	1.31140229	0.0371		
ALDH6A1	-0.44021748	0.0371	-0.74509954	0.0184
LOC105377086	-0.59496447	0.0372	-0.83307607	0.0264
LOC107984887	-0.77911102	0.0381	-1.28052281	0.000924
CLDN14-AS1	-0.41039483	0.0381	-0.73231065	0.0425
SIRPA	0.46345376	0.0383	0.77503561	0.00251
MOGAT1	-0.46242832	0.0391	-0.73391612	0.0183
CORO1C	0.32107243	0.0391	0.45935606	0.00757
MSL3	0.16630742	0.0391	0.27598403	0.041
STARD13	-0.24310952	0.0393	-0.27889012	0.0309
CDK19	-0.18855477	0.0394	-0.21769449	0.174
BSG	0.37096021	0.0399	0.49292861	0.0163
RCC2	0.24756812	0.0401	0.43261049	0.0448
LOC105374839	-0.53297716	0.0409	-0.71952316	0.00275
LOC105373594	3.66683672	0.0409		
LOC107986822	-0.54333587	0.0409	-0.75473319	0.023
HTRA1	0.4042076	0.0409	0.64455169	0.00492
PLXNA4	1.28735016	0.041	0.55591246	0.311
MACROH2A1	0.17985374	0.0414	0.34646244	0.0107
WWC1	0.43516514	0.0414	0.68191663	0.000597
CCZ1B	0.22349764	0.0414	0.29890751	0.00596
PPP2R5B	0.26820928	0.0414	0.30259164	0.139
SLC38A4-AS1	-0.58052424	0.0414	-0.48879722	0.156
LINC00412	-0.68015982	0.0414	-0.90467253	0.0185
AEN	0.61997321	0.0416	1.09849575	1.57e-06
KIAA0319	-0.54395948	0.0418	-0.90764324	0.003
SYDE2	-0.2609376	0.042	-0.44438456	0.00888
NUDT4P2	-0.34054222	0.042	-0.51453828	0.00525
BCAS1	-1.91872763	0.042	-1.00697812	0.289
LOC105372347	-1.96915294	0.0422		
SLC2A8	0.35595327	0.0422	0.31533197	0.215
LOC105378184	-1.45586324	0.0425		
CCL20	2.04216547	0.0426	3.61095562	0.000154
PPP1R3B-DT	-0.42498256	0.0426	-0.53134681	0.0402
SPRING1	0.34347835	0.0426	0.74782131	0.00838
IGHV1-69-2	3.31772959	0.0426		
ITGAE	0.43318364	0.0426	0.58750855	0.0061
PLA2G4C-AS1	0.83895566	0.0426	0.71153612	0.0618
MTRNR2L3	-0.98041795	0.0426	-0.98120182	0.0986
SEC61A1	0.25924575	0.0428	0.37143597	0.0215
LOC102724560	-0.36755374	0.0428	-0.51382593	0.0589
ZBTB20	-0.22410828	0.0431	-0.30675443	0.0153
TIGIT	-0.23572826	0.0433	-0.29572229	0.0287
TMEM144	0.5466418	0.0433	0.77256067	0.0308
LOC107986458	-0.46839201	0.0433	-0.87760644	0.00187
LINC02569	-0.60742757	0.0433	-0.62965986	0.144
LOC107986823	-0.80379629	0.0433	-0.70826616	0.0987
IDH2	0.33861027	0.0433	0.31673439	0.185
LOC105373608	-0.22287204	0.0434	-0.40250829	0.0416
COQ10B	0.34204553	0.0434	0.4985095	0.00275
CLK1	-0.19069954	0.0434	-0.23191863	0.0443
WDFY3-AS2	-0.57795784	0.0434	-0.57793097	0.0856
TRAM2-AS1	-0.2976698	0.0434	-0.44495219	0.0186
ASB4	-1.0706081	0.0434	-1.3773578	0.0232
SNORA11F	-0.53790846	0.0434	-0.4981236	0.0542
DAGLA	0.61390498	0.0434	1.09346493	0.0216
ING1	-0.24985207	0.0434	-0.41945352	0.0141
NUP93	0.24757283	0.0434	0.41765204	0.0154
TMEM199	0.25151535	0.0434	0.32583517	0.0302
CXADR	-0.26248974	0.0434	-0.43323578	0.00501
IFNGR2	0.29430602	0.0434	0.51863201	0.0461
C2orf16	-0.45255656	0.0436	-0.59101819	0.137
LOC105371822	2.31977849	0.0442		
NUDT4B	-0.33611259	0.0448	-0.50385473	0.00717
LOC105374584	-0.52778683	0.0448	-0.58233308	0.107
LOC107986334	0.89194683	0.0448	1.40556889	0.000456
NIPAL4-DT	-1.08643598	0.0448	-1.04088724	0.0847
CCNG1	-0.31547733	0.0448	-0.35153752	0.0817
LDLRAD3	0.5717451	0.0448	0.85385096	0.0178
ANKK1	-0.90617411	0.0448	-0.95217742	0.0579
SMCO3	-0.48214577	0.0448	-0.78060555	0.0029
FOXO1	-0.25782028	0.0448	-0.16431029	0.326
ABCA6	-0.32443994	0.0448	-0.54250519	0.00761
BAX	0.50531577	0.0451	0.79561994	0.000331
KLF9-DT	-0.57134429	0.0452	-0.73715902	0.0318
CCNB1IP1	-0.37993204	0.0452	-0.37322167	0.117
PSMB5	0.32212657	0.0452	0.41692482	0.00754
MAP10	-0.37786047	0.0456	-0.440335	0.0409
NUDT16L2P	-0.37746519	0.0456	-0.45520109	0.0422
MORF4L2	0.24436879	0.0458	0.36723596	0.0325
LYPD6	-1.00547332	0.0463	-0.78553815	0.263
LINC02004	-0.6134053	0.0464	-0.79104654	0.0443
LOC105374524	-0.60679734	0.0464	-0.82883429	0.0662
AP1AR	-0.23951647	0.0464	-0.37551182	0.00366
TMEM192	-0.22257793	0.0464	-0.33909982	0.059
DYNLT2	-0.27730858	0.0464	-0.34057467	0.0244
TTYH3	0.59368449	0.0464	0.85933234	0.0215
CHN2	-0.27590954	0.0464	-0.44822347	0.0101
SNORA5C	0.88264302	0.0464	1.1382774	0.0052
KCTD5	0.22445179	0.0464	0.37435737	0.012
GABPB1-IT1	-0.2475363	0.0465	-0.39379526	0.000715
SP4	-0.23854167	0.0467	-0.16334488	0.324
LIMK1	0.42780307	0.0467	0.74715972	0.0122
C9orf153	-0.6803464	0.0467	-0.65612408	0.124
DDHD1	0.27501033	0.0467	0.35300987	0.0207
LOC107985192	-0.47399917	0.0469	-0.64601498	0.0798
PTGR3	-0.21263463	0.047	-0.35979278	0.00299
RUNX1	0.38858383	0.047	0.67627854	0.058
LOC107985000	-0.82075603	0.0471	-0.75130122	0.195
TMEM184B	0.33727048	0.0471	0.50694118	0.0531
BLID	-0.46835057	0.0474	-0.3745741	0.106
PPP1CB-DT	-0.41222319	0.0477	-0.6083835	0.00167
DPY19L2P4	-0.88128112	0.0477	-1.0666476	0.0561
ANO4	1.85421356	0.0477		
ZNF37A	-0.16257153	0.0477	-0.18038798	0.112
AREL1	0.17551591	0.0478	0.28044389	0.000288
LOC105369907	-1.34377338	0.0479	-1.72355578	0.0048
VOPP1	0.28141141	0.0479	0.57103749	0.00486
ALDH3A1	1.67993338	0.0486	2.12275858	0.00115
FAM53C	0.23850534	0.0489	0.32711167	0.0221
EPRS1	0.1843228	0.0494	0.22222287	0.0302
SNAPC4	-0.31380482	0.0495	-0.5138666	0.0195
LOC100133331	-0.47297345	0.0496	-0.67319827	0.0202
ARPC5	0.35747407	0.0496	0.57749995	0.00539
KLHDC1	-0.29872092	0.0496	-0.57673781	0.000597
PPIL1	0.4053309	0.0497	0.51140519	0.0316
LOC105375366	-0.71622858	0.05	-0.8894494	0.00497
IMPA1	-0.2826535	0.05	-0.3712439	0.0999
ELL2	-0.28295363	0.0505	-0.49378326	0.00129
LRRK2	-0.48911541	0.0508	-0.27848403	0.537
CAPZB	0.24015726	0.051	0.31527845	0.0322
MMADHC-DT	-0.28337735	0.051	-0.36427088	0.0241
FAM200B	-0.16840681	0.051	-0.27082505	0.0212
PPIC	0.29736333	0.051	0.3346916	0.167
FBXO16	0.56878867	0.051	0.73274127	0.0172
TRAF3	0.27114496	0.051	0.23173347	0.112
LOC100996379	-0.55517514	0.051	-0.62702844	0.0952
PHF23	0.29413497	0.051	0.50454268	0.00486
RASL10B	-1.41598441	0.051	-1.41500437	0.0619
PI4K2A	0.31777512	0.0513	0.4671453	0.0146
CMYA5	-0.89240506	0.0517	-1.15008242	0.00757
E2F3	0.42988631	0.052	0.79163217	0.0119
SLC38A1	0.57002046	0.052	1.15062714	0.0145
DCUN1D4	-0.20497635	0.0521	-0.33595401	0.0212
UBD	1.38085037	0.0521	2.48001063	0.00132
PADI1	2.62641882	0.0528	2.83023004	0.0227
KCND3	-0.50164684	0.0528	-0.59600649	0.0575
PLEKHA6	-0.35504158	0.0528	-0.636706	0.013
CNST	-0.27886162	0.0528	-0.46007444	0.022
PIRAT1	-1.14142873	0.0528	-1.33139553	0.0516
TMEM185B	0.28614197	0.0528	0.4347498	0.0182
LINC01931	-0.50935875	0.0528	-0.5894843	0.102
NMI	0.32426641	0.0528	0.39778086	0.041
KCNH8	-1.12737702	0.0528	-0.40052933	0.67
LOC107986018	-0.31703077	0.0528	-0.46098593	0.0335
TAPT1-AS1	-0.2686245	0.0528	-0.44105869	0.0236
SEPSECS	-0.22882511	0.0528	-0.41244845	0.0131
LOC105377961	2.73348342	0.0528		
CCT6A	0.27471742	0.0528	0.50698027	0.00486
DEFB1	0.91761184	0.0528	1.28397806	0.0014
ZNF33B	-0.2284544	0.0528	-0.31018434	0.0291
SWAP70	0.2610316	0.0528	0.53429035	0.0368
PSMA3-AS1	-0.18233395	0.0528	-0.27318453	0.0418
IGHV1-69	1.35143561	0.0528	2.30347951	0.00501
ADAT1	0.20891037	0.0528	0.33080413	0.00387
ELAC2	0.20746658	0.0528	0.22809511	0.0893
PSME3	0.26474193	0.0528	0.40503549	0.0141
TRIM47	0.45804984	0.0528	0.4847382	0.119
DDX39A	0.25115472	0.0528	0.41643681	0.0213
CTSA	0.26109204	0.0528	0.45834974	0.0109
XK	0.8430319	0.0528	0.67374549	0.22
LOC105379263	-0.69529504	0.053	-0.32703459	0.575
TRMT10A	-0.25096401	0.0531	-0.36580122	0.0289
LOC105377685	1.73782485	0.0531	2.41315521	0.000812
SCHIP1	0.46052049	0.0531	0.62971575	0.0207
LOC107987272	-0.41299015	0.0531	-0.42167458	0.0869
TIFAB	0.79202235	0.0532	0.99830406	0.00915
ASCC3	0.25229441	0.0532	0.49878502	0.00495
CSTF2	0.19769314	0.0532	0.37264349	0.0202
GLYAT	-0.25790121	0.0533	-0.45069623	0.183
IGHV1-69D	1.32411593	0.0533	2.22984124	0.00486
TAC4	-0.5379161	0.0533	-0.57125539	0.0617
LOC105374118	-0.51728573	0.0534	-0.87113042	0.0325
RNVU1-14	0.68723671	0.0534	1.19147482	0.00495
FAM95C	0.9852804	0.0534	0.93996036	0.0947
MAP4K3-DT	-0.2771975	0.0534	-0.26169671	0.194
GTF2IP13	-0.37757092	0.0537	-0.51199118	0.0662
LRRC59	0.31941954	0.0537	0.48197667	0.0124
SRSF11	-0.18227751	0.054	-0.28673126	0.0325
PPP2CA	0.18047858	0.054	0.2771383	0.0189
GPRIN1	0.90978009	0.054	1.27984691	0.013
LOC105375166	-1.09532889	0.054	-1.64544253	0.0178
AZGP1P1	-0.45828954	0.054	-0.73802377	0.00723
KDM7A-DT	0.4366991	0.054	0.29910265	0.218
NANOG	-0.67500137	0.054		
APOF	-0.57340831	0.054	-0.79755342	0.000919
ZNF528	-0.39215379	0.054	-0.43915388	0.0545
GSS	0.23108129	0.054	0.31755413	0.0245
LOC105373215	-0.52558079	0.0541	-0.54261172	0.0749
LOC105378685	-0.29641464	0.0543	-0.57261226	0.0201
EFCAB13	-0.34586405	0.0543	-0.49431717	0.0119
DCTN2	0.23119056	0.0544	0.36082647	0.027
KIAA1107	-0.30598371	0.0546	-0.35487985	0.0783
LOC105373942	-0.30250606	0.0546	-0.39508946	0.0394
LOC105378339	-0.81702517	0.0547	-1.19111528	0.0211
SORD	-0.29386861	0.0548	-0.48420395	0.122
TARBP1	0.2558198	0.055	0.22186022	0.0793
FAM98A	0.2572561	0.055	0.4219978	0.00507
ARF4	0.38275554	0.055	0.6116352	0.00263
CCT6P1	-0.22914856	0.055	-0.30281032	0.0441
PANK1-AS1	-0.45154762	0.055	-0.6478355	0.0779
RRP12	0.4097807	0.055	0.61966908	0.00556
LOC105369908	-1.23490098	0.055	-2.24744051	2.74e-05
LOC101929823	-0.53270255	0.055	-0.6467682	0.0433
CCDC181	-0.38973406	0.0551	-0.50791606	0.0826
GPR89B	-0.19659907	0.0552	-0.2677984	0.0676
OR13C3	-1.04707863	0.0553		
RAB7B	0.9187843	0.0556	1.36125048	0.00495
ZNF606	-0.18525206	0.0556	-0.29679247	0.0195
LOC105369850	-0.48167954	0.0557	-0.75701204	0.000754
DUSP8	1.33745577	0.0557	1.61846284	0.00894
LHFPL2	0.39501789	0.0559	0.59502015	0.0758
DPY19L2P2	-0.51769916	0.0559	-0.83296644	0.0147
CREB3	0.28796129	0.0559	0.4008186	0.0263
ACADSB	-0.4519978	0.0559	-0.82381419	0.0109
CDCA5	0.80459268	0.0559	1.141111	0.00987
ZNF410	0.15719551	0.0559	0.31707367	0.00486
TRL-CAG2-1	1.22063257	0.0559		
LOC107986365	-0.52913827	0.056	-0.92209509	0.00757
DHRS9	0.81724385	0.0562	0.78434728	0.108
LOC107986465	0.48269716	0.0565	0.64463542	0.0397
IGHV4-59	1.39444682	0.0567	1.67878601	0.00501
COX10-DT	-0.35115844	0.0568	-0.4540464	0.0205
