Symbol	NAS 1	NAFLD_Stage_1_pvalue	NAS 2	NAFLD_Stage_2_pvalue	NAS 3	NAFLD_Stage_3_pvalue	NAS 4	NAFLD_Stage_4_pvalue	NAS 5	NAFLD_Stage_5_pvalue	NAS 6	NAFLD_Stage_6_pvalue
EXOC2	0.4071507	0.0145	0.4809275	0.0066	0.4185054	0.00741	0.42998722	0.0211	0.3914957	0.00102	0.423696	0.0227
CNPY3-GNMT	-1.1745507	0.0145	-1.3804854	0.0221	-1.3213303	0.0274	-1.90167515	6.86e-06	-1.7036997	9.3e-05	-1.9362943	0.00172
SUSD3	-0.9914575	0.0145	-0.9568197	0.0122	-0.5457686	0.332	-0.76056877	0.096	-0.281956	0.61	-0.379986	0.251
NIBAN2	0.7900626	0.0145	0.9403802	0.00235	0.8688679	0.00943	1.15511546	0.000548	1.0987589	5.82e-09	1.2236234	8.53e-06
IDH2	0.6898828	0.0145	0.4140577	0.152	0.7172789	0.00149	0.69982436	8.87e-05	0.69547	1.12e-07	0.5160679	0.0651
CYP1A1	-1.8583559	0.0147	-2.5472605	4.82e-06	-1.2264886	0.374	-2.29099695	0.0094	-1.8900478	0.0342	-2.0891983	0.158
PHF3	-0.2489653	0.0149	-0.266365	0.0196	-0.3111861	0.000827	-0.37305291	0.0115	-0.3922526	0.00154	-0.4503297	0.00103
MFN2	0.394481	0.0152	0.4910212	0.0154	0.4809031	0.0235	0.45175575	0.0106	0.355981	0.0821	0.3451024	0.246
SHC1	0.2746107	0.016	0.2396122	0.0482	0.3196736	0.00443	0.34431191	0.00676	0.3703591	0.00293	0.6208806	0.0674
LILRB5	0.425686	0.016	0.5710357	0.0243	0.4028739	0.0265	0.35087664	0.341	0.4758525	0.0209	0.1317745	0.814
SDF2L1	0.7190725	0.016	0.5584738	0.0934	0.7057633	0.0876	0.76147129	0.0233	0.9096147	0.00282	0.7317034	0.0476
FOXN2	-0.5249706	0.0164	-0.4488075	0.00146	-0.4622111	0.0225	-0.44960614	0.0416	-0.4141575	0.000151	-0.394511	0.036
PIP4P1	0.6489976	0.0173	0.4335393	0.011	0.4689608	0.000463	0.55013868	0.00902	0.7567309	0.0347	0.8284041	0.024
LOC105375825	-2.3723673	0.0178	-2.4679167	0.00288	-2.3504397	0.00385	-3.02906882	2.41e-07	-2.4575742	0.0012	-2.2011479	0.00186
APBB2	-0.4053574	0.018	-0.2083389	0.378	-0.3009297	0.047	-0.26016854	0.162	-0.2935692	0.0366	-0.2384767	0.0703
PIGL	-0.4065789	0.0185	-0.2911927	0.00482	-0.3116302	0.0781	-0.41252522	0.00253	-0.4562156	9.93e-05	-0.5112615	0.019
LOC101927560	-0.982805	0.0194	-1.1246051	0.0232	-0.7687877	0.0928	-1.28150323	6.11e-06	-1.4303178	3.44e-05	-1.7821618	2.07e-06
ELF3	1.3616435	0.0194	1.0457386	0.083	1.155668	0.0109	1.20097784	0.00353	1.0777197	0.00084	1.45609	0.00121
IL18	0.893992	0.0198	0.8631396	0.0502	0.792947	0.0826	0.64027452	0.083	1.1367214	0.00167	1.8393022	0.0182
CALM2	0.2813416	0.0208	0.2268277	0.0429	0.2784756	0.162	0.32016201	0.0654	0.4734709	0.000414	0.5414477	0.00208
GHR	0.7327499	0.0208	0.7646484	0.00794	0.5932468	0.109	0.71254518	0.000114	0.6877057	1.17e-05	0.6636267	0.219
IFNGR2	0.3840411	0.0208	0.5152325	4.14e-05	0.5023428	0.00384	0.57204659	6.16e-05	0.6955269	0.000124	0.9331171	0.00857
LOC105374339	1.2697696	0.0209	1.3276797	9.99e-06	1.5149996	0.000871	1.36914246	0.00341	1.0855078	0.0135	0.7115404	0.233
NPIPB12	-0.6029137	0.0211	-0.535041	0.123	-0.5068705	0.115	-0.37594349	0.388	-0.5607384	0.0076	-0.37262	0.343
ACVR2B-AS1	-0.737469	0.0216	-0.6056326	0.101	-0.6179217	0.00979	-0.77126533	0.0132	-0.9018835	0.0042	-1.0464509	0.00991
CSF1	0.4700112	0.022	0.5730262	0.268	0.347621	0.0632	0.4502601	0.184	0.3556828	0.0611	0.5519567	0.0635
NIPAL1	-0.6052522	0.022	-0.3827228	0.352	-0.4402578	0.268	-0.64020326	0.0606	-0.7578516	0.0146	-0.6438912	0.137
GLMP	0.5271761	0.022	0.5479704	0.0698	0.4074013	0.335	0.29445149	0.502	0.4924017	0.0945	0.5144638	0.0899
DNAJB11	0.6113965	0.022	0.4113327	0.0959	0.5197702	0.0863	0.6197848	0.017	0.7724033	4.94e-06	0.7660185	0.000598
LINC00869	-0.4992647	0.0227	-0.4581442	0.000115	-0.3380616	0.221	-0.44074625	0.0394	-0.2752964	0.131	-0.4363354	0.0147
TP53INP1	0.747605	0.0229	0.6897036	0.0317	0.7080338	0.0253	0.97410339	2.32e-05	0.8217606	6.48e-05	1.0164493	0.000264
GLYAT	-0.5111125	0.0229	-0.4772887	2.92e-05	-0.4683123	0.0336	-0.57999895	0.000923	-0.455385	0.000512	-0.6242828	0.297
MTRNR2L3	-1.6211949	0.0229	-1.630404	0.00217	-1.9478982	0.00429	-1.6176709	0.00398	-1.6194546	0.000947	-1.530716	0.0347
ANXA13	1.5076688	0.023	0.750444	0.512	0.8969821	0.333	1.00441005	0.15	1.2231677	0.139	1.2422832	0.143
TOM1L1	-0.2412785	0.023	-0.2254106	0.197	-0.1959255	0.395	-0.21278097	0.315	-0.2693264	0.0179	-0.3896123	0.226
LINC02624	-0.7506813	0.0232	-0.6572544	0.0871	-0.9638838	0.0757	-0.94838963	0.0308	-0.7793939	0.00679	-1.3115033	0.191
PGAM5	0.4830798	0.0232	0.3958981	0.0834	0.4446922	0.0313	0.66336598	0.0355	0.6056641	0.000247	0.617311	0.0342
LMAN2	0.2736183	0.0234	0.0675367	0.645	0.207597	0.299	0.15774256	0.432	0.2042827	0.159	0.1307237	0.617
ARHGDIA	0.3967599	0.0246	0.2731192	0.155	0.2906543	0.0782	0.48747209	0.0393	0.4354422	5.34e-05	0.4965085	0.067
XPA	-0.3541314	0.0247	-0.3325913	0.0115	-0.3597248	0.00323	-0.39496815	0.000561	-0.3951358	0.00293	-0.4866009	0.00587
NPIPA3	-0.3842416	0.0247	-0.4229407	0.012	-0.3795548	0.0175	-0.33602177	0.134	-0.5516001	1.3e-06	-0.4675352	0.103
EXOC6	0.3709307	0.025	0.2986683	0.272	0.378532	0.124	0.38263726	0.0188	0.4258407	1e-06	0.5718891	0.000942
ARF4	0.4331279	0.0252	0.2860151	0.248	0.3281469	0.16	0.52718729	0.000653	0.8305339	1.28e-05	0.9261944	3.55e-06
SOBP	0.7476661	0.0252	0.6318062	0.181	0.7520489	0.0353	0.84892233	0.00487	0.8296506	0.00108	0.9685466	0.00104
KLHL9	0.3083251	0.0252	0.1720349	0.126	0.2511207	0.0159	0.27034641	0.0339	0.2952361	0.00244	0.3428053	0.0646
RNA28SN3	-1.229874	0.0252	-0.9983106	0.0242	-1.0156172	0.0185	-0.60505009	0.349	0.162685	0.907	-0.2235412	0.839
SLC52A2	0.8344585	0.0258	0.7509087	0.00447	0.685266	0.0075	0.79116678	0.0291	0.7773603	0.00605	0.8660092	0.00557
MORN4	-0.6596949	0.0259	-0.6618658	0.0187	-0.5962089	0.0585	-0.83378858	0.00679	-0.7607329	2.34e-05	-0.7976072	0.0227
MSN	0.761743	0.0265	0.6591037	0.00562	0.7862643	0.00367	0.85454207	0.000229	1.0034542	4.03e-09	1.0412286	2.11e-05
TP53I3	1.2440132	0.0271	1.7294239	4.82e-06	1.6159332	0.000544	1.9118724	1.11e-08	2.1174245	3.84e-11	2.2395906	1.54e-12
IFITM1	0.8916498	0.0271	0.8343015	0.0259	0.9803589	0.00848	1.42702445	0.047	1.1822548	0.00452	1.2297057	0.0116
INHBE	0.8697061	0.0273	0.9513331	0.00251	1.070253	0.00367	1.2005438	0.000635	1.3462972	1.28e-05	1.3436987	0.00136
MVP	0.9458756	0.0275	0.9324882	0.0243	1.0636784	0.0027	0.98622967	0.0011	1.0194269	5.02e-07	1.0814257	0.0029
CTNS	0.5000318	0.0278	0.5098967	0.00958	0.4831492	0.00351	0.62615864	0.00315	0.550949	1.35e-05	0.7969664	0.00149
NAPEPLD	-0.5669742	0.0288	-0.7627659	3.03e-05	-0.7207855	0.000212	-0.80500958	0.00217	-0.8279565	7.81e-11	-0.7734287	1.52e-06
LOC105372613	2.1971082	0.0288	2.9192763	0.0243	2.4021154	0.0122	1.88162712	0.0899	1.7985631	0.0283	1.6472293	0.192
CYP4F22	1.2017005	0.0291	1.2609523	0.0154	1.6230225	0.000442	2.46230136	0.000426	1.6444141	1.47e-05	1.5046027	0.0146
GRAMD2B	-0.50046	0.0299	-0.4055317	0.092	-0.3501013	0.0984	-0.39932904	0.103	-0.5901924	0.000112	-0.6288559	0.000791
C12orf60	-0.5638618	0.03	-0.5901306	0.00228	-0.6111715	0.00211	-0.78852236	0.000134	-0.7492324	0.00231	-0.9672983	7.25e-08
LOC107984437	-1.0639104	0.03	-0.6494081	0.147	-0.7327177	0.163	-0.84926487	0.162	-1.0628294	2.88e-06	-1.0966365	0.153
NPIPB11	-0.4520043	0.03	-0.3774962	0.144	-0.3363421	0.147	-0.31704274	0.352	-0.5136136	0.00418	-0.4887753	0.178
ALDH18A1	0.9429124	0.0322	0.7594048	0.00256	1.0025177	0.00127	1.075515	8.96e-06	1.168726	5.78e-09	1.2556284	5.58e-10
LINC01010	2.4304334	0.0328	1.0959285		1.4114112	0.063	1.43083626	0.074	1.2173633	0.0207	1.1342842	0.218
RAD54L2	-0.6064705	0.0328	-0.3924195	0.0665	-0.5018693	0.0701	-0.81799154	8.51e-07	-0.8437313	0.000183	-1.0630778	0.000198
LAMB3	1.0857183	0.0337	1.1396818	0.063	0.7293403	0.017	1.15996325	0.00756	0.6663764	0.00511	1.1318509	0.0028
FAIM	0.8555736	0.0337	0.6515251	0.0142	0.7507055	0.0699	0.77622478	0.0224	1.1252933	4.51e-05	1.2332564	0.00541
LOC101929691	-0.6533777	0.035	-0.5782885	0.00576	-0.4904217	0.148	-0.42238484	0.172	-0.8121097	0.000839	-0.9049149	0.0129
LBP	0.8154705	0.0353	0.547446	0.204	0.6172023	0.0409	0.5860989	0.0632	0.6029694	0.000663	0.6963547	6.8e-06
YIF1B	0.6318127	0.0355	0.3865465	0.142	0.4771884	0.0192	0.54207185	0.0463	0.7818642	0.00206	0.7090839	0.0187
PGAP6	0.4097177	0.0362	0.3329292	0.278	0.355959	0.122	0.36924272	0.162	0.4126869	0.00287	0.4090543	0.0232
HNF4A-AS1	-0.6594802	0.0363	-0.5580204	0.00343	-0.5941081	0.016	-0.57580034	0.039	-0.7136527	0.00185	-0.75507	0.137
ATP6V1C2	0.4783869	0.0371	0.3228009	0.0423	0.4325762	0.11	0.41376952	0.0344	0.5061249	2.15e-05	0.4141854	0.00156
DPY19L2P2	-0.7859219	0.0371	-0.5316087	0.092	-0.7005826	0.0201	-0.94798434	0.00303	-1.1672693	5.11e-05	-1.222531	0.0134
LOC107984749	-0.9536356	0.0374	-0.9743695	0.000704	-1.1242285	0.00217	-0.96006861	0.0126	-1.1718495	3.45e-05	-0.9205479	0.0421
LOC107985192	-0.8141964	0.0383	-0.7311632	0.00805	-0.7258537	0.0142	-0.95874749	4.96e-05	-0.8619225	0.00661	-1.0783486	0.0421
LOC112268272	-0.5814846	0.0383	-0.5514923	0.176	-0.4899253	0.0265	-0.7547797	0.0028	-0.5521331	0.00221	-0.782559	0.000828
COPG1	0.3780554	0.0383	0.277072	0.189	0.4340991	0.00701	0.44097056	0.00923	0.4508623	0.00538	0.3475521	0.0822
CALU	0.3320358	0.0383	0.2692043	0.132	0.3370509	0.145	0.38373912	0.00814	0.5087428	6.07e-05	0.5545199	0.00531
ZFAS1	-0.3961444	0.0383	-0.3189999	0.284	-0.373737	0.201	-0.35336447	0.111	-0.2373518	0.463	0.0681177	0.899
TYMP	1.16835	0.0383	0.8817722	0.0214	0.8923937	0.00576	1.30772363	0.0066	1.1649574	1.6e-09	1.2078218	7.17e-10
MAGED2	0.3969911	0.0383	0.4981962	4.3e-05	0.5671868	0.000187	0.45013578	0.0167	0.6339197	2.33e-06	0.6088217	0.0011
LOC101928347	1.6754674	0.0386	0.8991642	0.315	1.0507183	0.0912	1.2439827	0.104	1.5023564	0.0434	1.34426	0.253
LINC02769	-1.2718051	0.0398	-1.7709093	1.65e-05	-1.771176	0.000473	-1.78496451	0.00462	-2.2749674	1.21e-09	-2.2041822	0.00021
DPP3	0.6716996	0.0398	0.4895315	0.0374	0.6533114	0.000354	0.77973435	0.00214	0.6876389	7.61e-05	0.6923374	0.000346
REN	-0.8072168	0.04	-1.0482343	0.00301	-0.9668399	0.0267	-1.17108867	0.000518	-1.10613	0.0193	-1.7001201	0.0169
LOC101928622	-1.1077992	0.0402	-0.4648546	0.38	-0.6891939	0.298	-1.16460266	0.018	-0.6972605	0.122	-1.6308098	0.000812
HLA-DPA1	0.6447678	0.0402	0.5779725	0.0366	0.774045	0.0223	0.78741651	0.0991	1.3241576	0.000348	1.2127508	0.0179
CEMIP	-0.5120261	0.0402	-0.7903545	0.000461	-0.7028649	0.00124	-0.61356078	0.0473	-0.8492638	1.61e-05	-0.7952425	0.0148
AFF1	-0.2071559	0.0406	-0.2819092	0.146	-0.2791956	0.0584	-0.24297648	0.0392	-0.32975	0.0197	-0.3112189	0.0801
SERPINH1	0.5393882	0.0406	0.3670394	0.185	0.4999432	0.12	0.59976412	0.0124	0.6737324	6.75e-06	1.1289921	0.0421
RPS6KL1	0.8387614	0.0406	0.7972745	0.00334	0.8653686	0.00491	0.99717146	0.0196	1.1004218	5.3e-06	0.9597492	0.0101
PLEKHO2	0.4252889	0.0406	0.609277	0.00386	0.5719762	0.00949	0.58041373	0.0585	0.7724444	9.28e-06	0.8993995	0.0138
LOC101929418	-0.9180547	0.0407	-0.6784938	0.0275	-0.6377864	0.227	-1.15263286	0.000607	-0.8894499	0.00708	-1.5238528	0.00623
KANSL1L	-0.3685411	0.0412	-0.483177	0.000996	-0.4633106	1.91e-05	-0.54351905	0.000114	-0.5557385	5.09e-07	-0.7030029	9.03e-08
MPC1	0.6280042	0.0412	0.2959343	0.444	0.1870623	0.53	0.32999031	0.279	0.3323235	0.312	0.3884936	0.232
WBP2NL	-0.6037987	0.0419	-0.3885765	0.144	-0.3453499	0.0765	-0.37651225	0.12	-0.4198961	0.00387	-0.4528973	0.0259
