Symbol	Fibrosis_1	Fibrosis_1_pvalue	Fibrosis_2	Fibrosis_2_pvalue	Fibrosis_3	Fibrosis_3_pvalue	Fibrosis_4	Fibrosis_4_pvalue
YWHAZ	0.22351459	0.0019	0.2071927	0.12702	0.52676844	1.03e-06	0.6323446	8.96e-05
LOC107986822	-0.47134141	0.00192	-0.3134785	0.44224	-0.55881281	0.0103	-0.8885278	0.0322
APCDD1	-1.57009268	0.00192	-0.5632675	0.75562	-0.59373867	0.381	0.1112748	0.968
CENPF	0.63107056	0.00209	1.0280889	0.0056	0.46701176	0.0504	0.9887346	0.0144
SEMA6C	-0.80878186	0.00215	-0.6908987	0.26474	-0.8597712	0.00293	-1.4170924	0.0812
FHIP1A	-0.77397556	0.00218	-0.8113642	0.12061	-0.58940222	0.0339	-0.9385926	0.233
PDE12	0.20345584	0.00223	0.1140853	0.47081	0.12486123	0.0389	0.2597047	0.0795
CYLD	0.18447531	0.00226	0.1862813	0.16009	0.07318889	0.352	0.3293865	0.0543
DANCR	-0.45403929	0.00227	-0.1735814	0.67396	0.00316354	0.99	-0.2202227	0.648
SUCO	0.26574934	0.00242	0.227954	0.14519	0.34059701	0.000804	0.6313996	3.79e-05
ADRB2	-0.33487577	0.00242	-0.2718561	0.19351	-0.41460868	0.000968	-0.7323164	0.00979
ADHFE1	-0.27732012	0.00242	-0.1791003	0.48589	-0.29663512	0.0276	-0.6374751	0.00304
NAV2-AS5	-0.861505	0.00242	-0.3942506	0.56258	-0.91919086	0.00492	-1.1705173	0.101
PRELID3B	0.26771208	0.00242	0.1625337	0.37825	0.26204972	0.00694	0.3937221	0.0454
GOLT1B	0.29712639	0.00244	0.2036253	0.35484	0.35645194	0.00115	0.7193306	0.000407
GAMT	-0.36662329	0.00244	-0.220001	0.43727	0.12270943	0.577	-0.6147054	0.0137
KPNA2	0.61023355	0.00247	0.73296	0.04374	0.87865808	0.000196	1.0964865	0.0272
TMED5	0.28171269	0.00249	0.1507315	0.50383	0.40289159	9.91e-05	0.3296514	0.201
HEXIM2	-0.21101162	0.00249	-0.1866285	0.24852	-0.25430016	0.00364	-0.4644376	0.00914
WDR88	-0.41847532	0.00251	-0.3498044	0.16311	-0.3243863	0.0623	-0.5880307	0.0851
GLYCTK	-0.36536014	0.00255	-0.2552478	0.37196	-0.49172317	0.00127	-0.9310703	0.00164
NAV2-AS4	-0.80079815	0.00255	-0.4626085	0.41965	-0.8616099	0.00782	-0.8986853	0.211
ZDHHC20	0.1970541	0.00255	0.1792133	0.20122	0.22713611	0.00323	0.2670876	0.177
ACTR2	0.20352704	0.00257	0.2082399	0.12718	0.53888164	1.27e-07	0.546149	0.000932
C5orf24	0.34644278	0.00265	-0.0874792	0.81305	0.18095431	0.19	-0.0518294	0.9
ZNF324	-0.55389209	0.00272	-0.317274	0.56249	-0.58129995	0.00868	-0.6085267	0.346
UBA6	0.21478385	0.00281	0.1489102	0.48943	0.08950526	0.365	0.4647934	0.0461
AQP4-AS1	0.78136272	0.0029	0.4461254	0.50328	0.82222772	0.00915	1.2015228	0.0929
APOL3	0.54332483	0.00293	0.3951301	0.33764	0.4125153	0.0533	1.0815518	0.0256
ATL3	0.25966703	0.00298	0.1988113	0.41272	0.21148307	0.0343	0.338216	0.23
RARRES1	0.40581897	0.00327	0.338478	0.21997	0.9656103	1.69e-05	1.2193694	9.69e-06
GTF2IRD2	-0.23417975	0.00352	-0.1097676	0.6535	-0.28896454	0.00583	-0.2410675	0.316
PLLP	-0.65568467	0.00363	-0.691082	0.14349	-0.33082832	0.224	-0.494919	0.524
SHTN1	0.23216896	0.00373	0.1927099	0.20336	0.11232084	0.288	0.1677185	0.483
RNA45SN2	-0.96708849	0.0038	-1.2537181	0.0977	0.43111222	0.433	-2.0371782	0.0697
NRAS	0.17743909	0.00385	0.2152936	0.12407	0.32302168	1.87e-05	0.4194412	0.00848
MACROH2A1	0.16271931	0.00385	0.1458071	0.28763	0.19849678	0.0146	0.3491844	0.0266
LINC02977	0.57166087	0.00385	0.6665541	0.0126	0.69611945	4.03e-05	0.8296663	0.0222
LOC105369907	-1.2380751	0.00385	-0.5173019	0.6664	-1.51868371	0.00236	-2.3097076	0.057
ZNF446	-0.63344554	0.00391	-0.3904257	0.51962	-0.65117125	0.00658	-0.804298	0.259
PACSIN3	-0.68326269	0.00397	-0.5076108	0.45201	-0.97114488	0.000622	-1.6689499	0.0134
PARPBP	0.54883333	0.00398	0.6892081	0.06622	0.70751859	0.00166	1.0764667	0.0164
TRAPPC13	0.19739087	0.00409	0.2002529	0.16257	0.24989984	0.000338	0.4375435	0.00453
ITPRIPL2	0.18965369	0.00412	0.0966085	0.49841	0.17216681	0.0638	0.0526206	0.783
ASB4	-0.99914613	0.00412	-0.7172543	0.42464	-1.23179388	0.00232	-1.6694742	0.118
RNF2	0.2234921	0.00421	0.0209377	0.95144	0.30296954	0.00022	0.3979712	0.041
PRKCI	0.21033017	0.00421	0.1009342	0.58364	0.11000044	0.304	0.2687217	0.197
RIC3	-0.45654725	0.00421	-0.2255888	0.53406	-0.82800187	1.36e-07	-0.2322966	0.616
RAB1A	0.21855042	0.00444	0.0984238	0.5668	0.33692567	5.02e-06	0.3142863	0.0637
TMEM120A	-0.27561604	0.00458	-0.1458782	0.62035	-0.03238542	0.861	-0.5427668	0.0283
LOC105370687	-0.22650852	0.00531	0.0161217	0.96807	-0.05801527	0.638	-0.1380551	0.616
LOC101929767	-0.44622187	0.00531	-0.4271652	0.20984	-0.4336741	0.0101	-0.4608828	0.31
LOC100996379	-0.56166644	0.00538	-0.2427233	0.63324	-0.72312212	0.0017	-0.8108347	0.173
AHCY	-0.28068427	0.00561	-0.135279	0.72227	-0.17174003	0.19	-0.3558138	0.259
RIPK2	0.26324267	0.00569	0.2868097	0.11854	0.46884109	0.000452	0.5148569	0.0268
METTL17	-0.15800651	0.00569	-0.0436682	0.82695	-0.13666682	0.0132	-0.2081321	0.165
MIR1244-2	0.35133507	0.00577	0.1802343	0.5922	0.69295448	0.000103	0.8184744	0.00608
ZDHHC1	-0.48764604	0.00577	-0.250655	0.63416	0.1740591	0.436	-0.1560115	0.809
ZBTB48	-0.23816211	0.00581	-0.1966716	0.25011	-0.42629064	9.93e-06	-0.658837	0.000953
ECT2	0.45406193	0.00582	0.5857495	0.05313	0.64197532	0.00126	1.044536	0.00382
NBN	0.1673065	0.00582	0.140783	0.37505	0.16036985	0.0297	0.4641379	0.00624
PAFAH1B2	0.19004217	0.00582	0.1853719	0.13436	0.20444374	0.00626	0.3402841	0.0145
PCK2	-0.31695394	0.00582	-0.2435052	0.35205	-0.2943227	0.0834	-0.7789772	0.0078
IL27	-0.48778707	0.00582	-0.49403	0.15664	-0.43453692	0.0757	-1.3779558	0.000151
SEC24A	0.28133006	0.00583	-0.056925	0.85439	0.21042522	0.0832	0.0978494	0.781
TREM2	1.03374068	0.00595	1.2185162	0.1862	2.00532439	4.61e-05	1.6270781	0.141
GTF2A1	0.19676773	0.00595	0.0801758	0.65969	0.18893974	0.0128	0.1814962	0.318
LOC102724019	-0.73720253	0.00601	-0.5921978	0.33552	-0.66443476	0.0421	-0.7271222	0.339
WARS2	0.18822987	0.00644	0.2239219	0.01378	0.17717379	0.0253	0.4245472	0.000549
RC3H2	0.13100774	0.00644	0.124089	0.15522	0.11215512	0.049	0.2494799	0.0222
REEP3	0.19894914	0.00665	0.0572524	0.82681	0.24687098	0.00307	0.308678	0.144
VIPR1	-0.30527453	0.00671	-0.1281273	0.71055	-0.24551598	0.342	-0.6385372	0.0486
DNAJC13	0.11179093	0.00672	0.0589459	0.60926	0.01968237	0.821	0.2222392	0.0455
LOC646471	-0.1972368	0.0069	-0.1538377	0.33552	-0.47600325	6.09e-05	-0.4957481	0.00316
CORO1C	0.28241599	0.0069	0.2220031	0.27087	0.27889193	0.0144	0.4962727	0.0443
CCDC38	-0.62665474	0.00724	-0.3612242	0.60808	-0.48769709	0.0787	-0.4171905	0.62
SPTBN1	0.22432544	0.00725	0.0735697	0.75919	-0.12359329	0.344	0.1524893	0.536
SULF2	0.44308878	0.00727	0.3139351	0.48114	0.50328392	0.00824	0.7290389	0.159
SRP54-AS1	-0.34073407	0.00732	-0.400814	0.15522	-0.28000747	0.0958	-0.7655947	0.019
LOC112268251	-0.83115473	0.0074	-0.3253384	0.71203	-0.60900258	0.0744	-0.4516698	0.672
RGS5	-0.59890152	0.00753	-0.4316709	0.37957	-0.64036438	0.0101	0.038777	0.971
ZMPSTE24	0.23102687	0.00769	0.1358028	0.53598	0.21910316	0.0154	0.3852261	0.0815
BUB1	0.78758878	0.00769	1.0695255	0.05709	0.98112788	0.00147	1.3084625	0.0564
ACTR3	0.20449468	0.00769	0.2191654	0.20428	0.2468785	0.01	0.5550059	0.0089
MIR1244-1	0.31479829	0.00769	0.2127923	0.43029	0.72005104	4.03e-05	0.8300821	0.00087
CDK5RAP2	0.17372415	0.00769	0.0454127	0.82681	-0.0702652	0.545	0.1228083	0.485
CCS	-0.24094621	0.00769	-0.1435673	0.61429	-0.42871911	0.000237	-0.7177502	0.000977
BTBD6	-0.26417882	0.00769	-0.161591	0.50323	-0.11465176	0.364	-0.3171859	0.259
MOSMO	0.21001425	0.00769	0.0736765	0.71594	0.14810603	0.086	0.1130271	0.624
BLOC1S6	0.16094028	0.00802	0.1485295	0.27249	0.18804499	0.00779	0.3222651	0.0358
MGAT2	0.21984439	0.00802	0.0123015	0.97524	0.11244544	0.29	-0.032695	0.927
POLL	-0.1864183	0.00823	-0.1392252	0.37712	-0.14847524	0.0475	-0.35812	0.0431
LOC105371077	-1.48370054	0.00823	-1.0168194	0.46504	-0.58666079	0.385	-2.741185	0.11
TBK1	0.14883052	0.00839	0.1154387	0.41339	0.18548279	0.00139	0.353075	0.0247
OSTM1	0.23211349	0.00882	0.2944994	0.11075	0.37420942	0.000227	0.6466421	0.00362
CDA	-0.32637269	0.00929	-0.2929997	0.33015	-0.03539296	0.866	-1.0123685	0.000345
NMI	0.27705317	0.00929	0.2167003	0.39872	0.29059934	0.0205	0.6171728	0.0405
DCUN1D1	0.16176139	0.00929	0.0951424	0.58978	0.14100892	0.0572	0.2417137	0.19
MAT1A	-0.36299142	0.00929	-0.1606217	0.72057	-0.49089869	0.00412	-0.8776543	0.0157
NEIL1	-0.19562442	0.00929	-0.0832832	0.74468	-0.33977804	4.63e-05	-0.7048358	0.000121
LOC101927745	1.38290677	0.00929	0.888504	0.42553	0.88971584	0.0742	0.2594008	0.876
LOC102724584	0.99936104	0.00929	0.6551804	0.43051	0.91200927	0.0217	1.1784329	0.21
NUDT13	-0.31428834	0.00929	0.0299858	0.96061	-0.23298308	0.0968	-0.123372	0.802
CA12	2.11368369	0.00929	2.4623262	0.11358	1.77945915	0.0309	2.2192202	0.325
PLGLA	-0.28425313	0.0093	-0.0848272	0.83592	-0.00167368	0.993	-0.5705859	0.0643
UTP15	0.17638878	0.00955	0.2016014	0.06745	0.10896714	0.0733	0.3574774	0.00901
AGXT	-0.29348693	0.00962	-0.2998978	0.14774	-0.28048657	0.0978	-0.8103792	0.00035
RSRC1	0.1519253	0.00962	0.1263805	0.37678	0.09545354	0.141	0.3150732	0.0488
ADGRE2	0.41924725	0.00962	0.3533576	0.1646	0.74101271	0.000705	0.5169262	0.118
LOC105373163	0.82989203	0.00987	0.3050901	0.76307	0.49240268	0.226	-0.1045754	0.934
ING5	-0.19442959	0.00989	-0.0988123	0.63626	-0.34152902	0.00022	-0.3374527	0.0863
PEX3	0.19240896	0.00989	0.0134415	0.96957	0.07002957	0.559	0.096568	0.713
CTTNBP2NL	0.20561975	0.0099	0.2216285	0.12499	0.48772211	0.00054	0.8543139	3.5e-08
INPP4A	0.13138736	0.0099	0.0767219	0.59177	0.09675879	0.175	0.2663333	0.0146
TXNDC9	0.22348393	0.0099	0.2482612	0.15125	0.46377651	4.3e-05	0.5497695	0.00359
ERI1	0.15029172	0.0099	0.2041487	0.15384	0.35897148	3.7e-06	0.4248836	0.00627
TRAF3	0.23118109	0.0099	0.0951849	0.73809	0.0612232	0.599	0.1443325	0.642
LARGE1	-0.2362746	0.0099	-0.2318723	0.25008	-0.25750778	0.0128	-0.3891998	0.167
DEUP1	0.35492477	0.00997	0.1757238	0.67963	-0.00214685	0.993	0.5954952	0.107
FABP5	0.83116468	0.0101	0.9700177	0.15951	1.29337484	0.000321	0.8287981	0.358
SUMO4	0.42390409	0.0104	-0.0816756	0.87919	0.05644934	0.768	0.4697243	0.285
GATA6-AS1	-0.40643858	0.0108	-0.1478992	0.77967	-0.13134158	0.516	-0.7126999	0.0762
ARF4	0.30243478	0.0108	0.1452685	0.63513	0.53549526	7.41e-05	0.7010207	0.0103
ASS1	-0.57976934	0.0108	-0.1779445	0.82682	-0.4459936	0.0887	-0.6998215	0.301
SMIM13	0.21245175	0.011	0.0876173	0.67396	0.3141109	8.12e-05	0.2636348	0.119
PSME3	0.20693758	0.0111	0.1195802	0.45043	0.39550163	6.23e-05	0.3215963	0.0773
UBP1	0.19738155	0.0111	0.028445	0.91082	0.22819684	0.0119	0.1851464	0.387
TMEM44-AS1	-0.37282367	0.0111	-0.1858044	0.65724	-0.38179556	0.0224	-0.288201	0.561
NAAA	-0.29935036	0.0111	-0.1489128	0.69294	-0.33730082	0.025	-0.466569	0.173
SPCS3	0.23352953	0.0111	0.1340725	0.599	0.24633101	0.0135	0.5015889	0.0242
ACOT12	0.40642668	0.0111	0.1155471	0.82681	0.29639058	0.125	0.2047024	0.693
NKAIN3	-0.62428321	0.0111	-0.8259125	0.04374	-1.31354943	6.55e-07	-1.6273837	0.00228
TMEM64	0.28954071	0.0111	0.1305041	0.67137	0.25209373	0.0587	0.0757312	0.848
BAALC	-0.42407652	0.0111	-0.4400223	0.17743	-0.25398389	0.258	-1.0996432	0.015
ZNG1F	0.2138193	0.0111	0.0863192	0.68615	0.14632048	0.0686	0.3331395	0.113
INIP	0.17235953	0.0111	0.1542228	0.31049	0.07325588	0.354	0.3216173	0.0551
RCE1	-0.27711779	0.0111	-0.0652932	0.85567	-0.21871716	0.0819	-0.4000237	0.214
KCNJ5	0.79229615	0.0111	0.8085325	0.26784	1.02703774	0.00445	1.3930613	0.0759
B3GLCT	0.29677078	0.0111	0.086835	0.76763	0.00226917	0.99	0.3247721	0.262
ARMC5	-0.23655235	0.0111	-0.2019401	0.43991	-0.37542344	0.00083	-0.6948136	0.00641
LOC112267915	0.74141832	0.0111	0.9109589	0.13008	0.45375347	0.1	0.8950614	0.205
CBS	-0.28482599	0.0111	-0.2287857	0.39578	-0.52195886	0.000239	-0.8673171	0.00098
SERHL2	-0.39115141	0.0111	0.0958849	0.83835	-0.11736786	0.509	-0.3692712	0.374
DNAJC17	-0.243846	0.0111	-0.186585	0.47322	-0.10369924	0.582	-0.5739913	0.00914
TAOK1	0.15879684	0.0111	0.0417727	0.78214	0.10919217	0.103	0.2400769	0.0597
AJUBA	0.46926965	0.0111	0.1282103	0.85008	0.52478662	0.0183	0.3926507	0.559
MUC5B	-1.12274085	0.0114	-1.3384353	0.19133	-0.00981508	0.991	-1.6869663	0.259
GNA13	0.19167133	0.0114	0.1454191	0.25488	0.2770566	0.00144	0.5263103	6.55e-05
FAM9B	-1.3942572	0.0114	-0.8069613	0.58414	-0.76052161	0.178	-3.6837123	0.0243
BBS1	-0.20062001	0.0115	-0.1440182	0.39872	-0.05413603	0.549	-0.0932536	0.69
NUFIP2	0.11806461	0.0115	0.0737816	0.48879	0.12968485	0.0309	0.1967885	0.0458
SEC22B2P	0.17066663	0.0116	0.1539357	0.34731	0.12852569	0.1	0.3055194	0.111
RAB6D	0.40298045	0.0116	-0.0572885	0.93794	0.41497825	0.0374	0.4687076	0.356
TWF1	0.24834211	0.0116	0.2146202	0.31871	0.35709568	0.00041	0.4847075	0.051
LOC100289511	-0.14153682	0.0116	-0.1243108	0.37407	-0.32741278	6.38e-05	-0.3473637	0.00646
ZNF562	0.11823533	0.0116	0.0921396	0.35484	0.05814776	0.322	0.3026687	0.00399
TMED7	0.24405872	0.012	0.1474953	0.53071	0.23801395	0.0173	0.521749	0.0221
EPOR	-0.2309401	0.0121	-0.1411917	0.56603	-0.16259433	0.136	-0.5158286	0.0528
ZNF408	-0.27696907	0.0125	-0.2661513	0.29134	-0.28600114	0.0181	-0.5943681	0.0521
HAUS4	-0.35006953	0.0126	-0.0202202	0.97569	-0.26193562	0.0931	-0.0470026	0.931
MTMR6	0.19576652	0.0128	0.2309391	0.18874	0.22312237	0.0111	0.4325831	0.0284
CAPG	0.75639846	0.0128	0.9461011	0.12061	1.3175349	0.000327	1.1612498	0.157
DEPTOR	-0.44126781	0.0129	-0.4408328	0.26474	-0.3216745	0.102	-0.1726291	0.809
C2orf69	0.23895842	0.013	0.2364006	0.20439	0.35433297	0.000216	0.3291166	0.148
AGFG1	0.20936044	0.0132	0.2118702	0.22819	0.21184205	0.00946	0.4041221	0.0447
CMPK1	0.20726483	0.0137	0.0555641	0.84454	0.24513339	0.0151	0.1825793	0.503
SEC22B3P	0.16724825	0.0137	0.1492158	0.36707	0.12674241	0.106	0.3060215	0.124
ARPC5	0.27508248	0.0137	0.28034	0.26338	0.48729846	0.000205	0.8030313	0.00626
LOC102724081	-0.61938229	0.0137	-0.6425762	0.21874	-0.26490607	0.346	-1.8445599	0.0143
PTH1R	-0.32459957	0.0137	-0.2575176	0.40197	-0.33152407	0.0568	-0.7770766	0.018
ITIH1	-0.26416874	0.0137	-0.2257745	0.31433	-0.27414053	0.0383	-0.5150551	0.0292
LAMP3	0.89322536	0.0137	0.7250503	0.14774	0.5996173	0.0186	0.9718192	0.157
CISD2	0.27808334	0.0137	0.1093591	0.73844	0.35509108	0.0165	0.446671	0.126
DHX29	0.15788668	0.0137	0.1279133	0.30801	0.05710716	0.367	0.2631293	0.0919
TMEM161B-DT	-0.36340986	0.0137	-0.2234103	0.55752	-0.17997951	0.292	-0.3991951	0.373
C5orf15	0.17886173	0.0137	0.0668907	0.78979	0.26246403	0.00534	0.2545438	0.259
LOC105377700	-0.31109856	0.0137	-0.1441651	0.7093	-0.03040067	0.865	-0.7045901	0.0327
ADAT2	0.21053574	0.0137	0.0394557	0.87599	0.06989518	0.537	0.1362767	0.588
HTR7	0.6276029	0.0137	0.6747689	0.06041	1.04025567	1.79e-07	1.4704807	0.000421
CD82	-0.32952614	0.0137	-0.2302208	0.32724	-0.35813398	0.000982	-0.7670015	0.00694
RAD51AP1	0.52548142	0.0137	0.7822282	0.08537	0.91960647	3.64e-05	1.5020434	0.00121
LMBR1L	-0.18959187	0.0137	-0.0160204	0.95804	-0.06497032	0.445	-0.2415376	0.182
NDRG2	-0.34634841	0.0137	-0.2973651	0.21874	-0.24767474	0.0704	-0.3987434	0.233
LRRC3C	-0.30558062	0.0137	-0.195851	0.51797	-0.36128307	0.0178	-0.6168734	0.0555
NGFR	-0.36677604	0.0137	-0.1212596	0.82066	0.11281016	0.579	-0.2097444	0.707
DDX5	0.14322678	0.0137	0.1949502	0.03529	0.20099118	0.000542	0.4899394	7.61e-05
TLR7	0.53385149	0.0137	0.6887727	0.03713	1.18600852	2.98e-05	1.5844608	8.66e-06
GPANK1	-0.16687316	0.0137	-0.0854782	0.65969	-0.05870994	0.528	-0.3233336	0.0531
YTHDF3	0.13158795	0.0137	0.0456273	0.75338	0.18125175	0.00279	0.0791543	0.62
SCYL2	0.19159111	0.0137	0.1418991	0.36728	0.23966633	0.00261	0.260826	0.144
TXNRD1	0.24159092	0.0137	0.2568603	0.21092	0.48302254	0.00662	0.4946952	0.016
CLTC	0.1601562	0.0137	0.095765	0.57045	0.12802016	0.111	0.3486671	0.0451
YWHAH	0.31606321	0.0137	0.3116636	0.30342	0.43150429	0.00693	0.8619802	0.0103
FNBP1L	0.18588778	0.0138	0.0288427	0.9169	-0.04694933	0.66	0.1108413	0.647
SACM1L	0.15921819	0.0138	0.1082734	0.46504	0.14545334	0.0171	0.2898901	0.0722
LOC730098	-0.37565723	0.0138	-0.1225705	0.7856	-0.28186911	0.0856	-0.4437538	0.271
MED21	0.16404486	0.0138	0.0724167	0.6793	0.14769314	0.0451	0.2500713	0.14
PCP2	-0.42373185	0.0138	-0.1686812	0.7662	-0.66007886	0.00146	-0.5457882	0.337
AP1S3	0.46018965	0.014	0.4104148	0.36296	0.80285495	7.67e-05	1.0804593	0.0171
PON3	-0.47226477	0.014	-0.4709718	0.29744	-0.04238476	0.879	-0.6463706	0.244
IL32	0.75561124	0.014	0.5639888	0.44354	1.1814235	9.85e-05	1.0910936	0.198
STT3B	0.14700536	0.0142	0.0544087	0.75253	0.05316147	0.421	0.2361452	0.125
GTF2IRD2B	-0.18568379	0.0142	-0.0652734	0.77185	-0.24138445	0.019	-0.2318272	0.297
TOP2A	0.82088626	0.0142	1.2858715	0.02294	1.17115849	0.000366	1.3377233	0.0732
MET	-0.26408148	0.0142	-0.0988917	0.81716	-0.27755117	0.0273	-0.5609885	0.0802
ZNF511	-0.24567185	0.0142	-0.2935973	0.14819	-0.06168791	0.782	-0.8780955	0.000115
LOC107984789	-0.40282662	0.0142	-0.3651822	0.29162	-0.62054153	0.00127	-0.354407	0.429
RND2	-0.92729516	0.0142	-0.7957297	0.33404	-1.10002739	0.0105	-1.4180935	0.152
LINC02987	-0.81952983	0.0142	-0.6101774	0.52071	-0.69763678	0.0686	-0.9027184	0.457
LOC105372432	-0.23981771	0.0142	-0.1933598	0.41098	-0.34515599	0.0365	-1.0532711	1.8e-06
CD4	-0.44141475	0.0146	-0.366686	0.37	-0.33999699	0.12	-0.7199082	0.141
