Symbol	Steatosis_1_vs_control	Steatosis_1_vs_control_pvalue	Steatosis_2_vs_control	Steatosis_2_vs_control_pvalue	Steatosis_3_vs_control	Steatosis_3_vs_control_pvalue
SYBU-AS1	-1.3906085	0.000242	-1.14247132	0.0499	-1.71703995	0.00019
ASS1	-0.9464674	0.000242	-0.9084102	0.0113	-1.03511188	3.02e-05
MYO16	-0.7791193	0.000242	-0.84153343	0.00245	-0.76802245	0.000594
ZNF324	-0.8026881	0.000242	-0.92378289	0.000496	-0.99229381	0.000306
LOC105375825	-2.2208914	0.000315	-1.4415674	0.0277	-2.02062637	0.00476
LOC105375258	2.4849876	0.000321	2.09036324	0.00628		
MUC5B	-3.1745342	0.000454	-3.49751495	5.7e-05	-3.50306458	0.00224
IGFBP2	-2.2250428	0.000455	-1.67068237	0.0482	-1.99369119	0.0337
B9D1	-0.7417657	0.000455	-0.83189462	0.000229	-0.96307679	0.000132
XK	1.3273886	0.000507	1.58630064	1.62e-05	1.60487231	0.00077
LOC105374145	-0.7557545	0.000575	-0.69668973	0.00789	-0.93588334	0.00524
CA12	4.173692	0.000575	3.3115572	0.00845	3.47343586	0.00926
LOC107986570	-1.9627008	0.000633	-1.67746309	0.0171	-2.0882404	0.00715
AHCY	-0.4674077	0.000676	-0.3861234	0.0382	-0.42144253	0.00791
GPR89A	-0.282536	0.000677	-0.33176091	6.91e-05	-0.28608562	0.0028
ACVR2B	-0.5566956	0.000963	-0.55626269	0.00335	-0.72329907	0.00341
LINC02987	-1.4403044	0.00102	-1.65345032	2.32e-05	-1.66658199	0.000951
ARRDC4	0.9264873	0.00139	1.11773337	0.000436	1.01559225	0.00154
LOC112268251	-1.1042616	0.0016	-1.15773632	0.0022	-1.57425681	6.39e-05
IP6K3	2.6235038	0.00197	2.40560279	0.000764	2.3342075	0.0284
OPTN	0.5008514	0.00197	0.39331488	0.00657	0.41076262	0.0369
HAUS4	-0.5606728	0.00197	-0.56342717	0.0022	-0.68361929	0.00109
CAMK1D	0.6368993	0.002	0.68609177	6.91e-05	0.70295188	0.00835
LOC105369725	-0.855725	0.00204	-0.87945701	0.000347	-0.66138034	0.0154
MIR30DHG	-0.3609401	0.00208	-0.41038666	0.0267	-0.60837637	0.00416
ALDH6A1	-0.5663708	0.00218	-0.51948896	0.0456	-0.81534401	1.39e-05
SYT7	1.1287988	0.00227	1.01341158	0.0161	0.88848684	0.0235
JUN	0.8486869	0.00237	0.81271459	0.00871	1.05244673	0.000165
GCK	1.7767357	0.00237	1.4593081	0.0538	1.4266448	0.0308
SOD1-DT	-0.9643252	0.00242	-0.81079161	0.031	-1.08401101	0.00658
SLC38A11	-0.6619226	0.00264	-0.69663846	0.000586	-0.83016982	0.000465
MAGI1	-0.3441659	0.00264	-0.32605616	0.0141	-0.4699012	0.00756
ACSL4	2.2705653	0.00264	1.87508299	0.0205	2.58287274	0.000908
PADI1	3.6064241	0.00274	4.41927782	0.00335	2.77180866	0.0138
TMEM44-AS1	-0.6124071	0.00274	-0.60683503	0.00253	-0.70652082	0.000723
TTC9	1.4563317	0.00274	1.33817995	0.0113	1.75304881	0.000157
FAM131B-AS2	0.9414619	0.00277	1.05030535	0.0121	1.3204876	3.05e-05
AMDHD1	-0.7864928	0.00277	-0.74608714	0.0185	-0.83214383	0.00368
ATP6V0D1	0.5114961	0.00277	0.52743366	0.000582	0.65808133	0.000522
LINC01322	-2.2674659	0.00278	-2.01648502	0.0114	-2.8715417	0.00571
NREP-AS1	4.10821	0.00278	3.82184538	0.0165		
TIMM17A	0.3889257	0.00281	0.39293799	0.0192	0.57233705	0.0145
LMF1	-0.3994128	0.00296	-0.44569974	0.000485	-0.35035247	0.0503
PHF8	-0.535515	0.00296	-0.51811955	0.00315	-0.74717184	0.00012
RBM33	-0.3081428	0.00308	-0.34103411	0.00464	-0.39229418	0.0165
OR13D1	-0.7644376	0.00308	-0.60859729	0.117	-1.01183227	0.00465
LOC105378476	3.6822041	0.00308	3.64512406		4.58614984	0.00138
WNT11	1.0806054	0.00308	1.08409056	0.00069	1.34259874	0.0002
ACTR10	0.2703791	0.00308	0.35678258	0.00122	0.40908509	0.0215
BBOF1	-0.5518117	0.00308	-0.48881593	0.0382	-0.75950082	2.92e-05
ANO10	0.4858308	0.00309	0.58155086	0.00399	0.58180492	0.00265
KCND3	-0.7129229	0.00315	-0.77429793	0.000144	-0.81032113	0.000143
CMC2	-0.4647916	0.00317	-0.35355901	0.0489	-0.31280418	0.291
SSBP3-AS1	-0.4959608	0.00317	-0.51194079	0.0191	-0.56875084	0.029
LOC100507006	-0.7744383	0.00344	-0.6254024	0.0295	-0.7245587	0.0639
CIDEC	2.2396739	0.00344	2.40807313		3.09348746	9.16e-05
GCHFR	-0.5194891	0.00344	-0.47659058	0.0625	-0.15405778	0.761
FOXN4	2.2996226	0.00353	2.37222801	0.000853	2.51029759	0.00374
NAPEPLD	-0.5269269	0.00383	-0.53785178	0.000586	-0.52366582	0.000883
LINC02413	-1.8459921	0.00388	-1.58874071		-1.84749389	0.00833
ACVR1C	-0.7196361	0.00417	-0.77511638	0.00931	-0.77567127	0.000951
LOC105374839	-0.5128713	0.00461	-0.63945112	0.00148	-1.01872159	0.00213
ST3GAL1	-0.6451182	0.00461	-0.53632782	0.0533	-0.62429526	0.00169
PRAMEF33	2.8455042	0.00467	3.10821728	0.000647	4.39822184	3.18e-05
CRYBG3	0.3408394	0.00467	0.30432869	0.027	0.29765521	0.0134
KANSL1L	-0.3161021	0.00484	-0.32031492	0.0078	-0.43095568	0.00125
CDH23	-0.949715	0.00484	-0.90754664	0.00742	-0.9888309	0.0144
SNX29P1	-0.575598	0.00484	-0.43252905	0.0906	-0.65567032	0.00635
SLC6A16	-0.6523451	0.00484	-0.60357281	0.0168	-0.62159113	0.0247
PANX2	-1.0213451	0.00533	-0.52658122	0.265	-0.60974791	0.161
FNDC9	-1.4971548	0.00557	-1.1183084	0.0373	-1.19008535	0.0754
LHX6	1.474201	0.00557	1.89478446	0.0117	1.48777772	0.00599
SLC16A14	1.2548183	0.00569	1.20795067	0.00466	1.12715811	0.016
INHBE	0.7554954	0.00569	0.84709491	0.0125	1.00671607	3.18e-05
CSTA	1.2271951	0.00572	1.07925589	0.0238	1.41335588	0.0022
TP53I3	0.9385391	0.00574	1.13977463	0.0013	1.45784191	0.000237
DENND5A	0.2418856	0.00574	0.22067311	0.0219	0.2668143	0.0612
ZNF214	-0.5814377	0.00578	-0.41372916	0.109	-0.77271674	0.00229
TNFSF4	-0.3870949	0.00601	-0.31956154	0.0964	-0.48377892	0.052
GNA12	0.4313841	0.00601	0.44969421	0.0119	0.55190993	0.0049
SESTD1	-0.4169348	0.00603	-0.31449182	0.169	-0.44127268	0.00774
KCTD5	0.3536905	0.00612	0.31002881	0.00869	0.28634457	0.0185
PPARA	-0.4602909	0.00612	-0.45468245	0.0185	-0.38971444	0.0852
LOC105375434	-0.6160474	0.00636	-0.68029728	0.00532	-0.95997548	5.97e-05
LOC102723340	-0.788952	0.00636	-0.72224037	0.0233	-0.87902278	0.0108
POGLUT2	0.5616479	0.00636	0.61003489	0.000562	0.47980274	0.0211
EPB41L4A-AS1	-0.4620445	0.00643	-0.42011661	0.0216	-0.41684863	0.0687
FMO1	2.3634637	0.0066	1.95422351	0.00664	2.40980794	0.0104
GPT2	-0.6814345	0.00676	-0.35699359	0.267	-0.78106163	0.00923
SH3PXD2A	-1.0245442	0.00679	-0.96915925	0.00249	-1.11042195	0.00299
LOC105376506	-0.9989967	0.00679	-0.76389641	0.1	-0.62578752	0.227
MID1IP1	0.6022852	0.00679	0.54421165	0.00594	0.57929517	0.0154
HRG	-0.40349	0.00715	-0.33627121	0.0844	-0.31897691	0.116
ADCK2	0.371321	0.00715	0.26115084	0.067	0.41865835	0.0266
PTPA	0.4352327	0.00715	0.42110483	0.0022	0.49790612	0.00227
GAREM1	-0.5441793	0.00715	-0.59527587	0.00789	-0.63400574	0.00926
AZGP1P1	-0.5922576	0.00747	-0.51940503	0.0662	-0.70608749	0.000472
IFNGR2	0.3493079	0.0077	0.42333798	0.0341	0.53434917	0.00293
DHRS7B	0.3759438	0.0078	0.35282343	0.00511	0.53575352	0.0274
LGALS4	1.5070306	0.0078	1.21025767	0.089	1.66050442	0.00425
SGK1	0.6732069	0.00786	0.75701303	0.000586	0.92286112	0.000132
LOC105378468	-0.8293912	0.00797	-0.71278546	0.144	-0.48867394	0.271
LOC105378477	2.6947764	0.00818	2.82973864	0.0102	3.66386196	0.000423
CASR	-2.1357705	0.00838	-2.68239585	5.67e-05	-2.54109224	0.00374
LINC02749	2.4280251	0.00838	2.63702067	0.0013	1.85223136	0.0319
CYP4F22	1.5156995	0.00845	1.28996044	6.48e-05	1.12851849	0.00284
ATP10B	-2.1775664	0.0086	-2.56248715	0.000408	-0.43234756	0.705
DPYSL2	0.5976654	0.00864	0.6530977	0.0123	0.67251849	0.00392
FGGY	-0.4194795	0.00867	-0.3412868	0.0636	-0.39929324	0.0203
LOC105369907	-1.5630664	0.00867	-1.64193044	0.0123	-2.17094961	0.00238
CNTNAP4	-0.7512814	0.00867	-0.70494287	0.0259	-0.62035307	0.0308
CNN1	-2.3285536	0.00867	-2.42116398			
CD302	-0.460775	0.0092	-0.34502575	0.0333	-0.45300225	0.0372
DOCK9	0.285794	0.0092	0.23797797	0.111	0.2405944	0.223
LOC105371825	-0.9950782	0.00926	-1.03682705		-0.97885995	0.0354
F5	-0.4255978	0.00935	-0.33307767	0.0473	-0.33547835	0.0571
C14orf132	0.5050266	0.00935	0.52112814	0.0525	0.40565021	0.119
CREB3	0.3283215	0.00938	0.41531962	0.000788	0.56721715	0.00188
REELD1	-1.2473734	0.00944	-1.00706367	0.0339	-1.11063623	0.000723
ANKRD18A	1.050739	0.00944	1.01380806	0.0326	1.28126365	0.0109
LOC105378701	-1.5371426	0.00945	-1.06300823	0.139	-1.54415824	0.0232
CCDC38	-0.863994	0.00962	-0.8550059	0.02	-1.03422832	0.000646
RBMS1	-0.3797833	0.00987	-0.37994168	0.109	-0.5388138	0.000181
GPR88	-1.7246238	0.00995	-1.31630881	0.0717	-1.75793497	0.0608
IMMT	0.2714744	0.00995	0.28094479	0.00917	0.2371307	0.0617
ARHGEF26-AS1	-1.1248596	0.00995	-0.88850214	0.066	-1.4598152	0.00153
SLC1A2	-1.3477167	0.00995	-1.28533681	0.00647	-1.33473908	0.0119
ZNF507	-0.3056311	0.00995	-0.27225055	0.0176	-0.32607675	0.00304
LOC101929098	1.7485752	0.00995	1.51932599	0.0198	2.01055437	0.00182
LOC105373311	1.8438879	0.00995	1.3705243	0.0517	2.34555152	0.000908
SNX29P2	-0.6146146	0.0102	-0.51082154	0.068	-0.80294922	0.00397
CALCRL-AS1	-0.440142	0.0105	-0.35984627	0.042	-0.47629409	0.0138
ORMDL2	0.4022427	0.0105	0.48721252	0.00464	0.70727346	0.0317
MPZL1	0.4699934	0.0106	0.5646908	0.00929	0.46923138	0.00495
LOC105373215	-0.6140803	0.0106	-0.42857215	0.126	-0.8462228	0.00245
HGD	-0.4508047	0.0106	-0.33979434	0.188	-0.37314397	0.129
TRHDE	1.5418713	0.0106	1.61581997	0.00106	1.50554309	7.1e-05
LINC00939	-0.7119131	0.0106	-0.66597754	0.0121	-0.77073255	0.00976
ARHGAP11B-DT	-0.4066954	0.0106	-0.33087156	0.0185	-0.48122721	0.00619
LINC01290	-1.0464594	0.0106	-0.8573991		-1.2386245	0.0109
PDK3	-0.4260233	0.0106	-0.32284822	0.0632	-0.40837328	0.0594
GJC1	1.0415608	0.0106	0.95570325	0.00622	0.50014313	0.275
CHIT1	2.7505151	0.0106	3.22086302	0.00664	2.45781907	0.00784
LY75-CD302	-0.4339857	0.0106	-0.32427691	0.0372	-0.42654075	0.0436
LOC105373903	-0.8217465	0.0106	-0.84442256	0.0157	-0.94041661	0.0111
LPL	2.4642572	0.0106	2.82359901	1.77e-07	3.61254693	2.66e-10
RASSF4	0.5255384	0.0106	0.41876555	0.0379	0.61655153	0.00217
SNORA53	-0.7380321	0.0106	-0.62171309	0.0333	0.27242951	0.714
FBXO2	0.9409302	0.0109	0.8397999	0.00511	1.47258814	3.18e-05
LOC105372107	-0.6187277	0.0109	-0.56357244	0.026	-0.77360197	0.00715
TSPAN3	0.5559584	0.0114	0.57152045	0.00516	0.56467681	0.0161
PGGHG	1.1226982	0.0115	0.91161201	0.0453	1.40350616	0.00729
SNORA11F	-0.6120919	0.0117	-0.67447653	0.00991	-0.87102517	0.000231
ABCB11	-0.6166349	0.0119	-0.64882294	0.0204	-0.89281146	6.06e-06
HPCAL1	-0.3343524	0.012	-0.31857146	0.031	-0.23697782	0.216
GALNT3	-0.7564265	0.012	-0.53411589	0.0748	-0.68273406	0.001
LOC101927157	-0.6030708	0.012	-0.68410837	0.0138	-0.77681115	0.00628
SLC25A48	-1.0132065	0.012	-0.84768162		-0.79473086	0.178
TMEM14A	-0.5457296	0.012	-0.51769368	0.00766	-0.28604548	0.303
PON3	-0.638386	0.012	-0.64118733	0.0336	-0.70731367	0.0302
MEIOC	-0.5817096	0.012	-0.35635987	0.0597	-0.55941194	0.0103
APOL2	0.4895513	0.012	0.43412852	0.012	0.46091889	0.00765
LOC105373942	-0.3701836	0.0121	-0.38065562	0.00347	-0.50891018	0.00956
PCAT18	-1.4041497	0.0121	-0.67792455		-0.93323737	0.184
CFAP68	-0.4058115	0.0122	-0.34524875	0.0167	-0.04547129	0.928
PPM1E	-0.7690404	0.0122	-0.76634501	0.003	-0.5708957	0.0541
HMCN1	0.4715804	0.0123	0.39540234	0.0551	0.40966073	0.0317
LOC107985227	-0.5177055	0.0124	-0.44215757	0.035	-0.62642695	0.0432
LOC105374260	-0.4227934	0.0124	-0.46937728	0.0292	-0.48251751	0.00282
C10orf105	-0.9006148	0.0124	-0.89709193	0.0141	-1.12235964	0.0126
TIAM1	-0.4475263	0.0124	-0.39355729	0.0352	-0.53747088	0.0153
S100A10	0.6393111	0.0124	0.96569165	8.22e-05	1.15999799	0.00124
PRAMEF10	2.6831089	0.0124	2.96325113	0.00406	4.29409793	4.98e-05
GON4L	-0.1225614	0.0125	-0.15285005	0.0409	-0.16787398	0.188
INVS	-0.2596776	0.0125	-0.28126894	0.0206	-0.3021026	0.0588
TIAM1-AS1	-0.9800907	0.0125	-0.84379301	0.0405	-1.28128145	0.0319
ASB3	-0.2261808	0.0128	-0.16110257	0.133	-0.26268568	0.05
LOC112268133	0.4980602	0.0128	0.59628691	0.0106	0.45598015	0.177
LOC107984749	-0.7109963	0.0131	-0.69771864	0.0141	-0.69622637	0.0493
GALNT18	0.6865206	0.0131	0.51718699	0.0795	0.45248211	0.122
CSTB	0.5779743	0.0131	0.69979738	0.000683	0.99974829	0.00275
ITGA6	0.7010863	0.0131	0.68833251	0.0122	0.65327051	0.0264
DAXX	0.3398066	0.0132	0.34572983	0.00409	0.47724554	0.00163
TRAF3	0.3245526	0.0132	0.31650758	0.0123	0.31820608	0.0796
UBTF	0.1784462	0.0132	0.12739837	0.177	0.19045955	0.0828
MAGI1-AS1	-0.3180611	0.0132	-0.29355478	0.146	-0.52857616	0.0258
IGFBP1	-2.0399901	0.0132	-1.17436154	0.255	-1.74057379	0.0162
TP53INP1	0.5517179	0.0132	0.59181927	0.00561	0.72343871	0.00113
AAGAB	0.3180781	0.0132	0.35523525	0.00188	0.38771434	0.00394
OXT	1.7164884	0.0132	1.60581416	0.0205	2.22309629	0.0026
AGAP1	-0.2839488	0.0133	-0.27207418	0.0158	-0.39926763	0.0304
MANEA-DT	-0.4963359	0.0133	-0.40666728	0.112	-0.57520473	0.0179
PPP1R9B	0.4369135	0.0133	0.41582297	0.00369	0.54826447	0.00121
KIAA1107	-0.3469679	0.0137	-0.38875611	0.0386	-0.45864462	0.000786
GSTM3	1.288387	0.0137	0.85838811	0.0676	0.58401733	0.292
LZTFL1	-0.4268571	0.0138	-0.3479532	0.00789	-0.37697359	0.051
LOC105377676	-1.2096962	0.014	-1.26249454			
SLC51A	-0.7755762	0.0141	-0.66291004	0.0676	-0.61257589	0.059
LOC105370997	-0.5031846	0.0147	-0.45823934	0.0351	-0.39555994	0.192
MPZL3	0.4709395	0.0148	0.48728066	0.00243	0.50851943	0.00693
SNORD17	-0.6148581	0.0148	-0.58831407	0.0376	-0.06362818	0.918
PSMD1	0.2628751	0.0151	0.30314309	0.00397	0.28791982	0.022
DACT2	1.3415238	0.0151	1.56007359	0.00291	1.45150483	0.0312
PIK3R3	0.4798959	0.0156	0.50345988	0.00665	0.51526301	0.0126
FAM201A	1.2850284	0.0156	1.39210263	0.0109	1.72441219	0.00245
TEDC2-AS1	0.7454459	0.0161	0.52794892	0.154	0.41528893	0.364
LOC105372524	1.0278028	0.0161	0.93946835	0.0276	0.89831138	0.0308
AGFG1	0.2899944	0.0161	0.33791861	0.00638	0.30100328	0.05
FADS2	0.9710089	0.0168	0.89679048	0.0373	0.75951863	0.0331
SLC16A12	-1.6849415	0.0169	0.10287755	0.89	-2.10249617	0.0028
PC	-0.4827998	0.017	-0.40209383	0.123	-0.57061921	0.00426
WDFY3-AS2	-0.6858947	0.0171	-0.73888067	0.00508	-0.8491976	0.00687
TNIP1	0.4140602	0.0171	0.32844687	0.00966	0.28129615	0.0384
CBS	-0.432085	0.0171	-0.48190435	0.0477	-0.4808047	0.00565
EEF1A2	3.0465795	0.0174	3.86844722	0.00789	4.5984652	0.000203
MAGI2-AS3	-0.4939738	0.0174	-0.50201373	0.00509	-0.53491087	0.00495
FAM9B	-1.8032204	0.0174	-1.83855259	0.0113	-2.21756885	0.0043
WNT2	0.8823418	0.0175	0.93911703	0.0107	0.9937389	0.0251
ADPRS	0.296007	0.0175	0.31801264	0.00385	0.40785929	0.00907
PLEKHB2	0.4035485	0.0175	0.46180287	0.00534	0.49093441	0.00328
LOC105372346	-2.8515331	0.0175				
MTRNR2L3	-1.1668239	0.0175	-1.05048374	0.0413	-0.7646375	0.206
KAT7	-0.2054814	0.0179	-0.26036979	0.000529	-0.31698886	0.00306
PLXNA4	1.4558538	0.018	1.52549485	0.00579	1.45674853	0.0225
LRRTM3	-1.1788961	0.0181	-1.16144413	0.0171	-1.45722566	0.000105
TDRKH	0.6264474	0.0181	0.76021597	0.0141	0.50948522	0.0109
COL19A1	-1.6981886	0.0181	-1.88946348	0.0146	-1.37863016	0.142
PTGS1	0.5481881	0.0181	0.45847528	0.0389	0.48695161	0.053
RCC2	0.344538	0.0182	0.34391592	0.0307	0.33765514	0.0192
RGS16	1.3657173	0.0182	1.86704681	0.0207	1.05043133	0.0641
HAAO	-0.4451449	0.0182	-0.47471136	0.0498	-0.53189076	0.000968
RASL10B	-1.5636759	0.0184	-1.42381873	0.0628	-2.34441658	6.49e-05
LOC105373943	-0.3915701	0.0188	-0.44688965	0.00463	-0.50201838	0.0405
PJVK	-0.4024669	0.0188	-0.42185364	0.00789	-0.41240554	0.0334
LINC01931	-0.5905365	0.0188	-0.55726814	0.0628	-0.6907452	0.0346
LOC105372892	-1.2047519	0.019	-1.53812715	0.00035	-1.21155525	0.0581
LOC105373991	1.3075265	0.019	1.1560029			
PMM1	-0.4916227	0.019	-0.46983815	0.035	-0.34808231	0.194
LOC105372976	-0.3645317	0.0192	-0.40897898	0.0944	-0.4049052	0.234
EIF5A	0.2988644	0.0196	0.34509641	0.0117	0.46868592	0.0499
MAGI3	-0.3020425	0.0196	-0.36379894	0.00127	-0.44304087	0.000593
MYH4	4.1069652	0.02				
SH3KBP1	0.3734156	0.0201	0.3141957	0.0425	0.36342709	0.0264
LINC00963	0.3876185	0.0201	0.38646849	0.0256	0.48923525	0.00836
LOC107985147	-0.5510569	0.0201	-0.5328664	0.0195	-0.69376641	0.105
LINC02768	-0.5856517	0.0202	-0.42877143	0.149	-0.81434556	0.0114
FAM76B	-0.4643332	0.0202	-0.29235707	0.11	-0.43302505	0.0336
SPATA6L	-0.6550661	0.0202	-0.61755674	0.0457	-0.89663377	0.0082
SNAI2	-0.594888	0.0205	-0.27452224	0.4	-0.4432742	0.199
LRRC69	-0.3985732	0.0205	-0.24389277	0.168	-0.26735355	0.242
ZBTB43	0.2735692	0.0208	0.13564631	0.214	0.12227132	0.574
LOC105372889	-1.2457474	0.0208	-1.31164024		-0.99060861	0.108
FAM227B	-0.3052446	0.0208	-0.28981165	0.0537	-0.31649464	0.048
SERPINF1	0.3572346	0.0208	0.31350436	0.0551	0.4632823	0.0145
LOC107986589	0.8216269	0.0209	0.79500082	0.0221	0.84696319	0.0168
ZNF621	-0.1824122	0.021	-0.22722716	0.0207	-0.23989232	0.0837
ZNF69	-0.3859357	0.021	-0.35480091	0.0192	-0.49202325	0.0135
PLSCR4	-0.5076076	0.0213	-0.41180735	0.0259	-0.53004949	0.0221
RNF187	0.409747	0.0213	0.41645111	0.00631	0.37818348	0.00569
TERC	-0.4834885	0.0213	-0.30181585	0.307	0.41428471	0.479
H3C7	1.2141887	0.0213	1.40821529	0.00806	1.77040724	0.00282
ELAC2	0.2680857	0.0213	0.25828104	0.0136	0.2211526	0.0301
LOC105373730	-0.6867483	0.0213	-0.46510079	0.162	-0.86015015	0.00175
ARL2BP	0.2894437	0.0213	0.3522612	0.0146	0.38252774	0.0264
KRTCAP3	-0.6100753	0.0214	-0.37669806	0.213	-0.37448612	0.269
SNORA22C	-0.6745613	0.0214	-0.71274491	0.00406	0.00060092	0.999
B3GAT1	-1.8436432	0.0214	-1.71641933	0.0264	-2.51133454	0.00124
RDH12	-1.197726	0.0214	-0.99923065	0.09	-0.71646572	0.356
LGALS2	-1.2107939	0.0214	-1.21357038	0.0129	-1.16576742	0.0807
LMLN-AS1	-0.7692221	0.0215	-0.53556814		-0.66092588	0.0968
CEMIP	-0.4972683	0.0215	-0.2391871	0.572	-0.58694949	0.0185
HLA-DQA1	0.901925	0.0216	0.82966032	0.0445	1.0604095	0.0119
LPAL2	-0.4006539	0.0222	-0.47847752	0.109	-0.61319066	0.00956
SLC1A2-AS1	-1.1360976	0.0222	-1.25755227	0.00872	-1.43378319	0.000635
FGF14-AS2	-0.6087263	0.0222	-0.49129595	0.0177	-0.40116756	0.312
BOK-AS1	-1.0226556	0.0223	-0.77748026		-0.51860583	0.441
LOC107986018	-0.3634628	0.0223	-0.34564758	0.0609	-0.50043422	0.0228
CNPY3-GNMT	-1.1150128	0.0223	-0.92418791	0.051	-1.38565668	0.000437
FOLH1	-0.4970401	0.0223	-0.43193678	0.146	-0.57202654	0.000756
GPD1	0.398863	0.0223	0.36056532	0.14	0.42733325	0.00293
TMEM199	0.2426694	0.0223	0.31973102	0.00743	0.44022356	0.00268
NSDHL	0.9496027	0.0223	1.22323534	0.0193	0.9636616	0.0353
SNX7	0.3187204	0.0223	0.42164945	0.00634	0.4609232	0.00336
SPATA6	-0.4416989	0.0224	-0.41203507	0.0966	-0.62334369	0.00259
USPL1	-0.2435722	0.0227	-0.15560299	0.17	-0.26562848	0.0211
BICDL1	1.0649261	0.0228	0.89432857	0.0522	1.03038092	0.0536
CCT6B	-0.4356677	0.0228	-0.42065585	0.0321	-0.4642182	0.0314
PCK1	-1.0657141	0.0228	-1.02125645	0.0245	-0.8205764	0.0689
APOL3	0.6817894	0.0228	0.58047184	0.024	1.01433431	0.00341
CASP7	0.3580352	0.023	0.35410844	0.0192	0.39548944	0.0105
DEPDC5	-0.3242071	0.0232	-0.32703832	0.0247	-0.26088693	0.17
MAGED2	0.3261047	0.0233	0.36422333	0.00102	0.38402569	0.0276
MASTL	-0.2433523	0.0233	-0.19809797	0.0493	-0.28560879	0.0101
ANXA5	0.7480771	0.0235	0.7536015	0.0267	0.75570614	0.0185
KYNU	-0.3913067	0.0235	-0.32363469	0.0367	-0.39758957	0.00516
B3GAT1-DT	-0.7015449	0.0235	-0.67901519	0.0547	-0.71939795	0.0354
CDKL5	0.3034217	0.0235	0.17156375	0.254	0.22945488	0.168
LOC107986083	-0.5071197	0.0236	-0.4981382	0.00638	-0.64731451	3.74e-05
LINC00885	0.983325	0.0236	0.84310814	0.0915	1.0901102	0.0107
SIRT5	-0.2445583	0.0236	-0.25573923	0.0274	-0.19562699	0.147
SARDH	-0.5172971	0.0236	-0.62217226	0.0113	-0.61324155	0.00338
TMEM19	0.5494684	0.0239	0.45431094	0.0041	0.55475673	0.00369
LINC02288	-1.1116809	0.0239	-0.885972		-0.76909914	0.224
DNAJC17	-0.3172636	0.0239	-0.32842857	0.112	-0.0889767	0.792
PTPRU	0.6629889	0.0239	0.50917338	0.0625	0.57884553	0.116
SAMD1	0.4726691	0.0239	0.57026881	0.00742	0.6778192	0.00227
LOC112267965	-0.5434172	0.024	-0.59221008	0.00664	-0.61938798	0.00271
IDI2-AS1	1.1043279	0.024	1.2726738	0.0255	0.86189024	0.0992
TRHDE-AS1	1.5494107	0.024	1.48901208	0.0155	1.49786453	0.00055
NUDT4	-0.4171917	0.024	-0.43101713	0.0282	-0.54772968	0.0125
INAFM2	0.3727647	0.024	0.4581545	0.00811	0.60163658	3.03e-05
MED12	-0.2588557	0.024	-0.2634153	0.0537	-0.22921577	0.257
RAB32	0.4418269	0.024	0.61630144	0.00444	0.82078069	0.00687
P3R3URF-PIK3R3	0.4568683	0.0243	0.50752531	0.00572	0.48769904	0.0221
FAM157A	-0.5745465	0.0243	-0.42511291	0.0395	-0.32420713	0.341
GNMT	-1.1837002	0.0243	-0.98813227	0.0707	-1.48124798	0.000423
TMC5	-1.944185	0.0243	-2.1234292	0.00774		
LOC105374167	-0.555402	0.0247	-0.30090484	0.355	-0.6516863	0.0328
NIPAL4-DT	-1.1980282	0.0248	-1.03776132	0.0453	-1.20899028	0.0851
TRIM47	0.6119417	0.0248	0.72611366	8.22e-05	0.85635973	2.66e-05
