Molecule	Type	actin cytoskeleton reorganization	actin filament debranching	actin filament polymerization	adhesion strenghtening and intraluminal crawling	ameboidal-type cell migration	angiogenesis	anti-inflammatory molecule gene expression	apoptotic cell clearance	apoptotic process	capture rolling	cell adhesion	cell motility	cytokine production involved in inflammatory response	degradation of membrane-associated molecules	destruction of pathogens	digestion of microbes/particles/...	endosomal vesicle fusion	endothelial cell proliferation	endothelial migration	epithelial cell proliferation involved in lung morphogenesis	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast efferocytosis	fibroblast migration	firm adhesion	focal adhesion	formation of intraluminal vesicles	fusion with late endosomes	gluconeogenese	glycogen synthesis	glycolysis	hypothermia	keratinocyte migration	keratinocyte proliferation	ketogenic acid synthesis	leukocyte migration	leukotriene synthesis	lipoxin synthesis	lymphocyte chemotaxis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage clearance	macrophage derived foam cell differentiation	macrophage differentiation	maresin synthesis	membrane hyperpolarization	microtubule cytoskeleton organization	microtubule-based movement	monocyte chemotaxis	monocyte extravasation	myeloid dendritic cell differentiation	myosin ii filament organization	natural killer cell chemotaxis	neurotrophy	neutrophil apoptotic process	neutrophil chemotaxis	neutrophil extravasation	nf-κb response	p38mapk cascade	pamp recognition	phagocytic cup	phagocytosis, engulfment	phagosome maturation	phagosome sealing	phagosome-lysosome fusion	platelet activation	platelet aggregation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of cellular response to insulin stimulus	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	recognition of a target particle	regulation of actin cytoskeleton reorganization	regulation of acute inflammatory response	resolution of airway inflammation	resolution of edema	resolvin synthesis	response to endoplasmic reticulum stress	sensory perception of pain	site of dna damage	slow rolling	stat3 pathway	thromboxan synthesis	tissue homeostasis	unknown signalling cascades	uptake of srbc	vascular associated smooth muscle cell migration	vasoconstriction	vasodilation	wound constriction	wound healing
ADAM10	PROTEIN	-7	-9	-7	-6	-8	-6	0	3	6	-7	8	5	0	0	-5	-11	-7	-11	0	0	-7	5	-12	0	-6	3	-6	0	0	-7	-9	-8	0	-7	-7	-11	0	-8	-8	-6	-7	-6	0	-6	-6	-8	-8	-8	0	0	-6	-7	-7	-7	0	-7	6	-3	0	-7	-7	-9	-7	-8	-7	0	-7	-7	8	0	-7	0	-7	-7	-8	8	-7	7	8	0	0	-8	-6	0	-8	-7	8	-9	-7	-6	0	-7	-7	7	-9	8
Abeta42	PROTEIN	-6	7	-6	-5	-7	-4	0	-5	3	-5	-6	-6	0	0	-6	-11	-7	9	0	0	5	-5	-11	0	-4	-5	-5	0	0	-6	6	-6	0	3	3	-9	0	5	5	-5	-5	-4	0	-6	2	-6	-7	-7	0	0	-5	-5	-7	5	0	5	-5	-6	0	-5	-5	-8	-6	-8	-7	0	-6	-6	7	0	-5	0	-5	3	5	-7	5	6	7	0	0	5	-6	0	5	-5	6	-6	-6	-5	0	-6	6	-6	-7	7
BACE1	PROTEIN	-7	8	-7	-6	-8	-5	0	-6	4	-6	-7	-7	0	0	-7	-12	-8	10	0	0	6	-6	-12	0	-5	-6	-6	0	0	-7	7	-7	0	4	4	-10	0	6	6	-6	-6	-5	0	-7	3	-7	-8	-8	0	0	-6	-6	-8	6	0	6	-6	-7	0	-6	-6	-9	-7	-9	-8	0	-7	-7	8	0	-6	0	-6	4	6	-8	6	7	8	0	0	6	-7	0	6	-6	7	-7	-7	-6	0	-7	7	-7	-8	8
PPARG	PROTEIN	-3	-6	-4	-2	-5	-3	0	1	2	-4	4	-3	0	0	-3	-9	-5	-8	0	0	3	-4	8	0	-3	-3	-4	0	0	4	5	4	0	-3	-3	6	0	4	3	-3	-2	1	0	2	-2	3	-6	-5	0	0	-3	-3	-5	-4	0	2	-4	4	0	-3	-4	-6	3	-6	-5	0	-3	-3	-5	0	-2	0	2	-3	-5	3	-4	-4	-5	0	0	3	2	0	-4	-3	-5	-4	-4	2	0	-5	4	-4	-6	5
CCR5	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDX	SIMPLE_MOLECULE	4	-8	6	4	7	-5	0	-3	-4	-6	-6	3	0	0	5	-11	-7	-10	0	0	-5	-6	-10	0	-5	5	-6	0	0	-6	-7	-6	0	-4	4	-8	0	-6	-5	-5	4	-3	0	-4	2	-5	-7	-7	0	0	-5	-4	-7	-6	0	-4	4	-5	0	-4	5	8	4	-8	-7	0	3	3	7	0	4	0	-4	4	1	-5	-6	4	7	0	0	-5	-4	0	5	5	6	6	5	3	0	-7	-5	-5	8	6
IL6	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protectins	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCTRs	COMPLEX	4	-8	6	4	7	5	0	-3	-4	-6	-6	3	0	0	5	-11	-7	-10	0	0	-5	-6	-10	0	5	5	-6	0	0	-6	-7	-6	0	4	4	-8	0	-6	-5	5	4	-3	0	-4	3	-5	7	-7	0	0	-5	-4	-7	-6	0	-4	4	-5	0	-4	-6	8	4	-8	-7	0	3	3	7	0	4	0	-4	4	6	-5	-6	4	7	0	0	-5	-4	0	-6	5	6	6	5	3	0	-7	5	-5	8	6
GPR37	PROTEIN	3	-7	5	3	6	4	0	-2	-3	-5	-5	2	0	0	4	-10	-6	-9	0	0	-4	-5	-9	0	4	4	-5	0	0	-5	-6	-5	0	3	3	-7	0	-5	-4	4	3	-2	0	-3	2	-4	6	-6	0	0	-4	-3	-6	-5	0	-3	3	-4	0	-3	-5	7	3	-7	-6	0	2	2	6	0	3	0	-3	3	5	-4	-5	3	6	0	0	-4	-3	0	-5	4	5	5	4	2	0	-6	4	-4	7	5
Protectin Receptors	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAA1	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAA2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAB1	PROTEIN	5	7	-6	-5	-7	-4	0	-5	3	-5	-6	5	0	0	-6	-11	-7	9	0	0	5	-5	-11	0	-4	-5	-5	0	0	-6	6	-6	0	-3	-6	-9	0	5	-6	-4	-5	-4	0	-6	-2	-6	-6	-6	0	0	-5	-5	-7	5	0	5	-5	-5	0	-5	4	-8	5	-8	-7	0	-6	-6	7	0	-5	0	-5	5	-7	6	5	5	7	0	0	-6	-6	0	4	-5	6	-6	4	4	0	-6	-4	4	-7	7
PRKAB2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG1	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG3	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPK	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKB2	PROTEIN	-5	-7	5	-4	6	-3	0	4	-4	2	-5	-5	0	0	-5	-10	-7	-9	0	0	4	-4	-10	0	-3	-4	-4	0	0	-4	-6	-4	0	-4	-4	-8	0	-5	-5	-3	-3	-3	0	-4	3	-5	-6	-4	0	0	4	4	-6	5	0	4	-4	-4	0	4	4	7	-5	-7	-6	0	-5	-5	6	0	-4	0	-4	-4	-6	-6	-5	-4	6	0	0	-5	-4	0	4	2	-6	-5	-5	-4	0	-5	5	-5	-5	5
REL	PROTEIN	3	5	4	2	5	-5	0	2	-4	2	-6	3	0	0	-5	9	-7	-10	0	0	-4	4	-11	0	-5	3	-4	0	0	-6	-7	-5	0	-4	-4	8	0	-6	4	4	-2	2	0	-4	-2	4	6	-6	0	0	-4	-3	5	3	0	-4	-4	4	0	-3	-4	6	4	6	5	0	3	3	5	0	4	0	4	-4	-6	-6	3	4	5	0	0	4	-4	0	-4	3	-6	-4	-5	3	0	-5	5	-5	5	6
NFKB Subunits	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REL:REL	PROTEIN	-6	8	6	-5	7	-6	0	1	-5	-5	-6	-6	0	0	-6	11	-8	10	0	0	5	5	-11	0	-6	-5	4	0	0	7	7	-7	0	-5	-5	9	0	-6	6	5	-5	4	0	5	-3	6	-7	-7	0	0	5	-2	7	6	0	5	-5	3	0	-2	4	8	-6	8	7	0	-6	-6	-8	0	-5	0	5	-5	-7	6	6	-6	-8	0	0	6	5	0	-5	-5	7	-7	-5	-5	0	5	5	-5	-8	-8
apoptotic cell clearance	PHENOTYPE	-5	-8	-6	-4	-7	-5	0	0	4	-6	6	-5	0	0	-5	-11	-7	-10	0	0	5	-6	10	0	-5	-5	-6	0	0	6	7	6	0	-5	-5	8	0	6	5	-5	-4	3	0	4	-4	5	-8	-7	0	0	-5	-5	-7	-6	0	4	-6	6	0	-5	-6	-8	5	-8	-7	0	-5	-5	-7	0	-4	0	4	-5	-7	5	-6	-6	-7	0	0	5	4	0	-6	-5	-7	-6	-6	4	0	-7	6	-6	-8	7
leukocyte migration	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apoptotic process	PHENOTYPE	-5	-8	-6	-4	-7	-5	0	3	0	-6	6	-5	0	0	-5	9	-7	6	0	0	5	-6	10	0	-5	-5	-6	0	0	6	7	6	0	-5	-5	8	0	6	5	-5	-4	3	0	4	-4	5	-8	-7	0	0	-5	-4	5	-5	0	4	-6	5	0	-4	-6	-8	5	6	5	0	-5	-5	-7	0	-4	0	4	-5	-7	5	-6	-6	-7	0	0	5	4	0	-6	-5	-7	-6	-6	4	0	-7	6	-6	-8	7
phagocytosis, engulfment	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of cellular response to insulin stimulus	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytokine production involved in inflammatory response	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neurotrophy	PHENOTYPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPARA	PROTEIN	-4	-7	-5	-3	-6	-4	0	-3	3	-4	-5	-4	0	0	-3	-10	6	-9	0	0	-4	-4	10	0	-4	-3	-5	0	0	-5	-6	-5	0	3	3	-8	0	5	-5	3	-3	-3	0	2	2	-5	6	-5	0	0	-3	-3	-6	-4	0	-4	-3	4	0	-3	-5	-7	3	-7	-6	0	-4	-4	-6	0	4	0	2	3	5	-5	-5	-5	-6	0	0	-5	2	0	-4	-3	6	-5	-6	2	0	-6	-6	-6	6	6
ICAM1	GENE	2	5	3	3	4	-6	0	4	-5	5	-6	2	0	0	4	9	-8	9	0	0	4	3	-12	0	-6	3	-6	0	0	-7	7	-6	0	6	6	9	0	-6	6	-5	-5	-5	0	-6	4	-7	6	-7	0	0	5	5	6	-6	0	5	3	4	0	5	5	5	3	6	5	0	2	2	4	0	-5	0	3	-6	-7	-7	3	3	4	0	0	-7	-6	0	5	-5	5	-7	4	2	0	4	4	-4	7	5
VCAM1	GENE	3	7	3	3	4	-5	0	3	-5	5	-6	2	0	0	4	10	-7	10	0	0	4	2	-12	0	-5	3	-6	0	0	-7	7	-6	0	-6	-6	9	0	-6	6	-5	-5	4	0	5	4	6	6	-7	0	0	-5	5	6	-6	0	5	3	4	0	5	5	5	3	7	6	0	2	2	6	0	-5	0	3	-6	-7	-7	5	3	6	0	0	6	5	0	5	-5	5	-7	4	2	0	4	4	-4	-6	5
TNF	GENE	-5	-7	-6	-4	-7	-5	0	-5	-4	-4	5	-5	0	0	5	-11	-7	-9	0	0	-4	-5	-11	0	-5	-4	-4	0	0	-6	-6	-6	0	4	4	-8	0	5	-5	-4	-4	-4	0	-6	-2	-6	-7	-6	0	0	-4	-3	-7	-5	0	-4	-4	-2	0	1	4	-8	-6	-8	-7	0	-5	-5	-7	0	4	0	-5	4	-6	6	-5	5	-7	0	0	-6	-6	0	-4	-4	-7	-6	5	-5	0	-5	-5	5	-7	-7
MCP1	GENE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERCA2B	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLT1	PROTEIN	4	-7	5	3	6	4	0	5	2	-5	5	4	0	0	-6	-11	-8	8	0	0	-5	4	-11	0	4	3	-5	0	0	5	-7	5	0	4	4	-9	0	6	-6	4	3	-4	0	-5	2	-6	-7	-5	0	0	-5	2	7	4	0	-5	3	-3	0	2	5	7	5	-8	-7	0	4	4	6	0	-5	0	5	4	6	-7	-5	5	6	0	0	-6	-5	0	-5	3	-7	5	-6	4	0	-6	-6	-6	7	-6
IL-2	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPARgamma	PROTEIN	-4	-7	-5	-3	-6	-4	0	-5	-4	-6	-5	-4	0	0	-6	-11	-8	-10	0	0	-6	-4	-11	0	-4	-3	-5	0	0	-5	-7	-5	0	-4	-4	-9	0	-6	-6	-4	-3	-4	0	-5	-3	-6	-7	-5	0	0	-5	-3	-7	-4	0	5	-3	4	0	-3	-6	-7	-5	-8	-7	0	-4	-4	-6	0	-5	0	-5	-4	-6	-7	-5	-5	-6	0	0	-6	-5	0	-6	-3	-7	-5	-6	-4	0	-6	-6	-6	7	6
GPR120	PROTEIN	-5	-8	-6	-4	-7	-5	0	-6	-4	-7	-6	-5	0	0	-7	-12	-9	-10	0	0	-7	-5	-12	0	-5	-4	-6	0	0	-6	-8	-6	0	3	-5	-10	0	-7	-7	-5	-4	-5	0	-6	-4	-7	-8	-6	0	0	-6	-4	-8	-5	0	6	-4	5	0	-4	-7	-8	-6	-9	-8	0	-5	-5	-7	0	-6	0	-6	-5	-7	-8	-6	-6	-7	0	0	-7	-6	0	-4	-4	-8	-6	-7	-5	0	-7	-7	-7	8	7
IKKB	PROTEIN	4	-7	5	3	6	4	0	5	4	-6	5	4	0	0	-6	-11	-8	-10	0	0	-6	4	-11	0	4	3	5	0	0	5	7	5	0	4	4	-9	0	6	-6	4	3	-4	0	-5	3	-6	-7	-5	0	0	-5	3	7	4	0	-5	3	-4	0	3	-6	7	5	-8	-7	0	4	4	6	0	5	0	5	4	6	-7	-5	5	6	0	0	-6	-5	0	-6	3	-7	5	6	4	0	6	-6	-6	7	-6
